,(400.1736481776669, 299.0151922469878),(401.45837124953675, 110.88876082136765),(609.0148586399877, 189.17174545348598)
,(400.3472963553338, 298.0303844939756),(401.91692253048905, 111.77742876989343),(608.0298690114171, 189.34435898600415)
,(400.5209445330007, 297.0455767409634),(402.375658058384, 112.6660016230951),(607.0450348664937, 189.51785742113563)
,(400.6945927106676, 296.0607689879512),(402.83458216396815, 113.55447709563994),(606.0603600736689, 189.69225797267018)
,(400.8682408883345, 295.075961234939),(403.29369929600773, 114.44285283769267),(605.0758486216929, 189.86757825366473)
,(401.05904988371105, 294.09433405149133),(403.75301402406285, 115.33112643326535),(604.0915046238061, 190.0438362856072)
,(401.2498588790876, 293.1127068680437),(404.2125258727633, 116.21929807259184),(603.1073272921617, 190.22102257141154)
,(401.4406678744641, 292.13107968459605),(404.67223970996224, 117.10736518035331),(602.1233209071978, 190.3991557641364)
,(401.63147686984064, 291.1494525011484),(405.1321605443303, 117.9953251040628),(601.1394898865547, 190.57825496240415)
,(401.82228586521717, 290.16782531770076),(405.592293529032, 118.8831751118848),(600.1558387899848, 190.7583397208294)
,(402.0130948605937, 289.1861981342531),(406.0526439653769, 119.77091239045156),(599.1723723244344, 190.93943006054303)
,(402.22100655141145, 288.2080505335193),(406.5132173064241, 120.65853404268668),(598.1890953492948, 191.12154647979298)
,(402.4289182422292, 287.22990293278554),(406.9740133215902, 121.54604011726144),(597.2060074331671, 191.30468071789082)
,(402.63682993304695, 286.25175533205174),(407.43503783446045, 122.4334275177426),(596.2231136532542, 191.48885405311813)
,(402.8447416238647, 285.27360773131795),(407.8962968458801, 123.32069304980398),(595.2404192556019, 191.67408828543654)
,(403.05265331468246, 284.29546013058416),(408.35779653868656, 124.20783341837006),(594.2579296612689, 191.86040574845987)
,(403.2605650055002, 283.31731252985037),(408.81954328237913, 125.09484522476798),(593.275650472706, 192.04782932146034)
,(403.4855160598441, 282.3429424650651),(409.2815436376892, 125.9817249639059),(592.2935874803425, 192.23638244137584)
,(403.71046711418796, 281.36857240027985),(409.74379779661143, 126.86847244349585),(591.311740752779, 192.42605849039876)
,(403.93541816853184, 280.3942023354946),(410.20631278752785, 127.75508390472201),(590.3301163650916, 192.6168818681526)
,(404.1603692228757, 279.4198322707093),(410.66909586273925, 128.64155546393746),(589.3487206015203, 192.80887758488697)
,(404.3853202772196, 278.44546220592406),(411.1321545043885, 129.5278831089954),(588.367559963211, 193.00207127482628)
,(404.61027133156347, 277.4710921411388),(411.5954964302235, 130.41406269562756),(587.3866411761995, 193.1964892094108)
,(404.8521932271631, 276.5007964148628),(412.0591295991337, 131.30008994390283),(586.405971199638, 193.39215831037168)
,(405.0941151227628, 275.5305006885868),(412.5230548862317, 132.18596427358568),(585.4255507976449, 193.5890741181569)
,(405.33603701836245, 274.5602049623108),(412.987280849039, 133.07168107677714),(584.4453873022223, 193.78726473912863)
,(405.5779589139621, 273.5899092360348),(413.45181632803354, 133.957235585972),(583.4654883057908, 193.9867589916585)
,(405.83677795906465, 272.62398340974573),(413.91667045364505, 134.8426228695389),(582.485861670819, 194.1875864201977)
,(406.0955970041672, 271.65805758345664),(414.3818444957317, 135.72784211388958),(581.5065087116657, 194.3897442332983)
,(406.35441604926973, 270.69213175716754),(414.8473482909731, 136.6128879977938),(580.5274377359221, 194.59326333426114)
,(406.61323509437227, 269.72620593087845),(415.31319201655873, 137.49775500663327),(579.5486573537165, 194.79817542128754)
,(406.8720541394748, 268.76028010458936),(415.77938619885816, 138.38243742670852),(578.5701764889557, 195.00451300219999)
,(407.14769149529184, 267.799018408651),(416.24594172153, 139.2669293397662),(577.5920043908395, 195.2123094084901)
,(407.42332885110886, 266.8377567127127),(416.71286080243397, 140.15122938606712),(576.6141432996293, 195.4215644832127)
,(407.6989662069259, 265.87649501677436),(417.18015520673026, 141.03533115606498),(575.6366030224989, 195.63231316431833)
,(407.9913379116486, 264.9201902608113),(417.6478371192507, 141.919227998859),(574.6593937318037, 195.8445912889072)
,(408.2837096163713, 263.96388550484824),(418.11590917192336, 142.8029183029287),(573.6825182747293, 196.05840041258003)
,(408.576081321094, 263.0075807488852),(418.5843845586205, 143.68639485160384),(572.7059874616061, 196.27377815288978)
,(408.86845302581673, 262.0512759929221),(419.05327696665415, 144.56965014294855),(571.7298125135025, 196.49076310788627)
,(409.17747002019166, 261.100219476627),(419.52260058877613, 145.4526763813573),(570.7540050771613, 196.70939486948876)
,(409.4864870145666, 260.14916296033186),(419.9923591384076, 146.33547132076743),(569.7785690522014, 196.92967778124213)
,(409.7955040089415, 259.19810644403674),(420.4625680283721, 147.21802647473706),(568.8035168501196, 197.15165346282785)
,(410.10452100331645, 258.2470499277416),(420.93324326525885, 148.10033300955453),(567.8288613614217, 197.3753646121944)
,(410.4300891577736, 257.3015313521423),(421.4044014622986, 148.98238173460447),(566.8546159724159, 197.60085501554005)
,(410.7556573122307, 256.356012776543),(421.87604780728975, 149.8641695351872),(565.8807858834708, 197.82813228643442)
,(411.08122546668784, 255.4104942009437),(422.3482003958527, 150.74568637173275),(564.9073853963263, 198.05724250363735)
,(411.4232456100135, 254.4708015801578),(422.82087803376237, 151.62692178331136),(563.9344293699278, 198.28823291619793)
,(411.7652657533392, 253.5311089593719),(423.29408709361155, 152.50787194403367),(562.9619241145242, 198.5211138476036)
,(412.10728589666485, 252.591416338586),(423.7678481067355, 153.38852539599063),(561.9898855360962, 198.75593506054574)
,(412.46565384621016, 251.65783591208879),(424.2421824341255, 154.26887018404784),(561.0183301660717, 198.99274756650073)
,(412.82402179575547, 250.72425548559158),(424.7170979562455, 155.14890157374342),(560.0472656145552, 199.23156472833782)
,(413.1986283891714, 249.7970716310248),(425.1926180494071, 156.02860643390935),(559.0767096088434, 199.4724402974122)
,(413.57323498258734, 248.86988777645803),(425.6687514544989, 156.90797949499077),(558.1066706599324, 199.71538975222873)
,(413.94784157600327, 247.94270392189125),(426.1455238051748, 157.78700630097055),(557.1371678051474, 199.96046976888388)
,(414.33857270449255, 247.02219906843882),(426.6229618421043, 158.66567172130578),(556.1682208419021, 200.20773841311043)
,(414.7293038329818, 246.1016942149864),(427.1010765112542, 159.54396914424618),(555.1998399635496, 200.45721481368034)
,(415.13604047605764, 245.18814875734378),(427.57989720531134, 160.4218818636794),(554.2320464581237, 200.70896018276494)
,(415.54277711913346, 244.27460329970117),(428.05943626541375, 161.29940239895828),(553.264851700612, 200.96299620588348)
,(415.96539538087416, 243.36829551266453),(428.5397260704634, 162.1765122570521),(552.2982786081164, 201.21938742426607)
,(416.38801364261485, 242.4619877256279),(429.02078062068296, 163.05320292069183),(551.3323398692092, 201.47815827401226)
,(416.81063190435555, 241.55567993859125),(429.50263566561085, 163.92945386401658),(550.3670601791745, 201.73937680322936)
,(417.2490030511446, 240.65688589229208),(429.98532861721964, 164.80524351596915),(549.4024652168403, 202.0031125775178)
,(417.68737419793365, 239.7580918459929),(430.46887722681424, 165.68056102531028),(548.4385700449363, 202.2693945663573)
,(418.14136469767317, 238.86708532180455),(430.9533228643701, 166.55538239236364),(547.4754023355403, 202.53829596757458)
,(418.61083626045905, 237.98413772894563),(431.4386858847916, 167.42969511582552),(546.5129788330752, 202.80984891250958)
,(419.08030782324494, 237.1011901360867),(431.92498746062563, 168.3034861533976),(545.5513170554992, 203.08408717670608)
,(419.56511744349126, 236.2265704289473),(432.4122761635718, 169.1767270823405),(544.5904479738634, 203.3610900791391)
,(420.0499270637376, 235.3519507218079),(432.9005764925454, 170.04940273155063),(543.6303910557982, 203.64089485764575)
,(420.5499270637376, 234.48592531802345),(433.389942505651, 170.92148122871538),(542.6711797114913, 203.9235847884052)
,(421.0499270637376, 233.619899914239),(433.88040264031713, 171.79294485750506),(541.7128355345817, 204.20920068184182)
,(421.56496513864766, 232.76273261353688),(434.3720171251208, 172.6637578100564),(540.7553945354009, 204.49782973978262)
,(422.0948844028809, 231.91468451738046),(434.8648190298114, 173.53389934034522),(539.7988806048887, 204.78951638797912)
,(422.63952343789595, 231.07601394943504),(435.3588433577425, 174.40334742011316),(538.8433187509455, 205.08430706505123)
,(423.184162472911, 230.2373433814896),(435.8541272165183, 175.27207862090899),(537.8887351588883, 205.3822502908094)
,(423.74335537638177, 229.40830580893456),(436.3507466316022, 176.14004702849172),(536.9351716784925, 205.6834424036798)
,(424.31693181273283, 228.58915376464557),(436.8487451770252, 177.00722489303658),(535.982657189846, 205.98793566948146)
,(424.9047170650253, 227.78013677027062),(437.3481693278621, 177.87358250832074),(535.0312219098174, 206.29578450887647)
,(425.49250231731776, 226.97111977589566),(437.8490687443555, 178.73908801064673),(534.0808974551984, 206.60704554234047)
,(426.0943173404698, 226.17248426584837),(438.35154032971775, 179.60368173367712),(533.131732289258, 206.92182401645437)
,(426.70997881579547, 225.38447351224164),(438.8556427003351, 180.4673256417422),(532.1837610456842, 207.2401799828772)
,(427.3392992068453, 224.60732755078467),(439.3614387682884, 181.32997872244326),(531.2370198787507, 207.56217557730903)
,(427.9820868165318, 223.8412831076657),(439.8689961640783, 182.19159667140846),(530.2915465115719, 207.88787499695175)
,(428.63814584552233, 223.08657352744294),(440.3783877016575, 183.0521315408023),(529.3473802790032, 208.21734445726176)
,(429.3072764518812, 222.34342870196554),(440.8896918863619, 183.9115313492173),(528.4045621631233, 208.55065212349305)
,(429.9892748119437, 221.61207500034635),(441.402993463953, 184.7697396516955),(527.4631348187494, 208.88786801170892)
,(430.6839331824027, 220.8927352000077),(441.9183840050735, 185.626695070678),(526.5231425858582, 209.22906385298512)
,(431.39103996358926, 220.18562841882115),(442.4359625131629, 186.4823307922114),(525.5846314850858, 209.574312913414)
,(432.12239366520845, 219.50363005875866),(442.95583603405237, 187.3365740375918),(524.6476491916504, 209.92368976122813)
