,(400.99619469809176, 300.08715574274765),(401.45837124953675, 110.88876082136765),(361.53580999083783, 480.1556614105003)
,(401.9923893961835, 300.1743114854953),(401.914893402717, 111.77847286672596),(362.0655067856395, 479.30747434058185)
,(402.98995344644334, 300.24406795923943),(402.36955234485254, 112.66913848654981),(362.5889280786791, 478.45540031211203)
,(403.98751749670316, 300.31382443298355),(402.82236746378834, 113.5607429212983),(363.1059019886826, 477.59939915768774)
,(404.985081546963, 300.3835809067277),(403.273324744964, 114.4532884554615),(363.61626124959355, 476.739437865069)
,(405.9826455972228, 300.4533373804718),(403.72241047921244, 115.3467771253922),(364.1198349711861, 475.87548560543803)
,(406.98020964748264, 300.5230938542159),(404.16961129128293, 116.24121070799264),(364.6164487541427, 475.00751397538465)
,(407.9788391822372, 300.57542981045884),(404.6149141697189, 117.13659070914112),(365.1059248354763, 474.1354972520345)
,(408.9774687169918, 300.62776576670177),(405.05833921918196, 118.03290216477954),(365.58808729631255, 473.25941542859545)
,(409.9768595440109, 300.6626652634043),(405.4998736871755, 118.93014645346221),(366.0627560231357, 472.3792508986489)
,(410.97625037103, 300.6975647601068),(405.9395377721459, 119.82830873968177),(366.52975997836353, 471.4949956720307)
,(411.9760980661864, 300.71501716654404),(406.3773190313824, 120.7273902538179),(366.9889186238524, 470.6066413855702)
,(412.9760980661864, 300.71501716654404),(406.81323779250357, 121.62737627243294),(367.4400683994442, 469.71419313497887)
,(413.9760980661864, 300.71501716654404),(407.2473141980623, 122.52825233168703),(367.88305421006993, 468.81766451213167)
,(414.9754888932055, 300.68011766984154),(407.67953606973475, 123.43001962630798),(368.3177016909445, 467.917063841818)
,(415.9741184279601, 300.6277817135986),(408.1099557603739, 124.33264850348291),(368.74390207336796, 467.01243505937623)
,(416.97031312605185, 300.54062597085095),(408.5385928506273, 125.23612525739478),(369.16153175784467, 466.10381773253073)
,(417.96285927769316, 300.4187566274458),(408.965498624149, 126.14042137069718),(369.57052746181716, 465.1912814241396)
,(418.94766703070536, 300.2451084497789),(409.3907235506089, 127.04550908021331),(369.9708559177243, 464.27490970513526)
,(419.91796275698135, 300.00318655417925),(409.81434904474764, 127.95134650531547),(370.3625820758487, 463.354827851689)
,(420.8576553777673, 299.6611664108536),(410.23648674328695, 128.85787822758002),(370.74590499763497, 462.4312134637363)
,(421.75644942406643, 299.22279526406453),(410.657308920402, 129.7650213779417),(371.1212976786096, 461.50434759691916)
,(422.57560146835544, 298.64921882771347),(411.0769834898361, 130.67269601996398),(371.489369754553, 460.5745503357322)
,(423.2949412686941, 297.95456045725444),(411.4957629311845, 131.5807840000099),(371.8512559211018, 459.64232804332516)
