,(400.75470958022277, 299.3439409710095),(401.45837124953675, 110.88876082136765),(361.53580999083783, 480.1556614105003)
,(401.50941916044553, 298.687881942019),(401.9163140573192, 111.77774247742157),(362.0672826826895, 479.30858598421526)
,(402.2525639859229, 298.0187513356601),(402.3738172368418, 112.66695046249971),(362.5943953009558, 478.4587905454981)
,(402.9957088114003, 297.34962072930125),(402.83089475925993, 113.55637732205594),(363.11721034623315, 477.6063444014915)
,(403.73885363687765, 296.6804901229424),(403.28753519441716, 114.44602866554922),(363.63570816801536, 476.75126545261776)
,(404.481998462355, 296.0113595165835),(403.74372670646886, 115.33591028932396),(364.1498698039569, 475.8935721437212)
,(405.2251432878324, 295.34222891022466),(404.1994570361444, 116.22602818410746),(364.65967701581644, 475.03328346732474)
,(405.9564969894516, 294.66023055016217),(404.6547134821024, 117.11638854284637),(365.16511232604097, 474.17041896627126)
,(406.68785069107076, 293.9782321900997),(405.109510034468, 118.00698390324098),(365.6662500571133, 473.3050514290388)
,(407.41920439268995, 293.2962338300372),(405.5638336578502, 118.8978206140005),(366.16307602447876, 472.4372012356579)
,(408.15055809430913, 292.6142354699747),(406.0176708282273, 119.78890524678467),(366.6555768890819, 471.5668892810317)
,(408.8819117959283, 291.9322371099122),(406.4710075103723, 120.68024460562718),(367.1437401927527, 470.694136974275)
,(409.601251596267, 291.23757873945317),(406.92382913405567, 121.57184573680905),(367.6275543939026, 469.81896623735236)
,(410.32059139660566, 290.54292036899415),(407.37614958370114, 122.46370122444846),(368.10710579151777, 468.94145244427256)
,(411.03993119694434, 289.8482619985351),(407.8279538316804, 123.35581832523057),(368.58238622594905, 468.0616180799478)
,(411.759270997283, 289.1536036280761),(408.2792262542032, 124.24820456485467),(369.0533885210317, 467.1794860954767)
,(412.46637777846956, 288.44649684688954),(408.72995060216107, 125.14086775002471),(369.52010651705314, 466.2950799036227)
,(413.1734845596561, 287.739390065703),(409.18014061499576, 126.03380053156198),(369.9826365514461, 465.40847629022807)
,(413.88059134084267, 287.03228328451644),(409.62977946589564, 126.92701097919536),(370.44097580614846, 464.5196989685108)
,(414.5876981220292, 286.3251765033299),(410.07884962640736, 127.82050747663561),(370.89512252652844, 463.6287720599666)
,(415.28235649248825, 285.6058367029912),(410.5273328303365, 128.71429873626698),(371.34507605049413, 462.7357200870832)
,(415.97701486294727, 284.88649690265254),(410.9752425406032, 129.60837753114404),(371.7909423483064, 461.84062051470306)
,(416.6716732334063, 284.16715710231387),(411.4225597568343, 130.50275290427507),(372.2327239835284, 460.94349789946)
,(417.3663316038653, 283.4478173019752),(411.8692646445305, 131.3974342683977),(372.6704246373052, 460.0443771413394)
,(418.0483299639278, 282.716463600356),(412.315336489852, 132.2924314241538),(373.104049132704, 459.14328347418257)
,(418.7303283239903, 281.9851098987368),(412.7607882889466, 133.18773734655312),(373.5337124860278, 458.2402943254047)
,(419.4123266840528, 281.25375619711764),(413.2055983879651, 134.08336225454264),(373.95942255423904, 457.3354347021351)
,(420.0943250441153, 280.52240249549845),(413.64974413041966, 134.97931680665982),(374.38118833841713, 456.4287298861687)
,(420.76345565047416, 279.7792576700211),(414.09320179983274, 135.8756121237505),(374.79902000270494, 455.52020542292155)
,(421.432586256833, 279.0361128445437),(414.5359836508363, 136.77224149669223),(375.21304085082386, 454.60993802411895)
,(422.1017168631919, 278.29296801906634),(414.978064752827, 137.66921657954722),(375.6232638168441, 453.69795276209464)
,(422.7577758921824, 277.53825843884357),(415.4194189552624, 138.56654955453064),(376.0297029775219, 452.7842749147833)
,(423.4138349211729, 276.7835488586208),(415.86005791780417, 139.4642339671669),(376.4324876061433, 451.8689801300574)
,(424.0698939501634, 276.02883927839804),(416.2999540364376, 140.3622826322242),(376.8316342419653, 450.95209302516827)
,(424.71268155984995, 275.26279483527907),(416.7390782925971, 141.2607089718049),(377.2271605296062, 450.03363836881067)
,(425.3554691695365, 274.4967503921601),(417.1774415397591, 142.15950687096665),(377.6192009347977, 449.11369036990135)
,(425.998256779223, 273.7307059490411),(417.61501300596035, 143.058690507365),(378.0077752244673, 448.192272971863)
,(426.62757717027284, 272.95355998758413),(418.0517602656109, 143.9582747620003),(378.39290421876944, 447.2694102205571)
,(427.25689756132266, 272.17641402612713),(418.4876930816433, 144.8582539728191),(378.77472675424394, 446.34517456261926)
,(427.87255903664834, 271.3884032725204),(418.92277689545074, 145.75864392998366),(379.1532654083729, 445.4195890790845)
,(428.488220511974, 270.6003925189137),(419.35702097172407, 146.6594391798721),(379.52866163889706, 444.4927246498888)
,(429.1038819872997, 269.81238176530695),(419.79038836453526, 147.56065652482724),(379.9009394427073, 443.5646033017935)
,(429.70569701045173, 269.01374625525966),(420.2228399628835, 148.4623136742394),(380.2701237331854, 442.63524709469954)
,(430.30751203360376, 268.21511074521237),(420.6543833243846, 149.36440586860996),(380.6363587430324, 441.7047247050912)
,(430.8952972858962, 267.40609375083744),(421.0849763868484, 150.26695205277898),(380.99967042105266, 440.7730570472786)
,(431.4830825381887, 266.5970767564625),(421.5146258099875, 151.16994782973268),(381.36020437088695, 439.8403109558813)
,(432.07086779048115, 265.7880597620876),(421.94328618743083, 152.07341353511953),(381.7179872407675, 438.9065061486437)
,(432.6444442268322, 264.9689077177986),(422.3709091968449, 152.9773707032529),(382.0730464407018, 437.97166233038206)
,(433.21802066318327, 264.14975567350956),(422.7974987602506, 153.881816027412),(382.42552877699455, 437.03584386369016)
,(433.77721356665404, 263.32071810095454),(423.22300234251793, 154.78677276752595),(382.7754619819655, 436.0990692098599)
,(434.3364064701248, 262.4916805283995),(423.64742224599945, 155.69223825307952),(383.1229930376378, 435.1614007368145)
,(434.88104550513987, 261.6530099604541),(424.0707010911804, 156.5982377118113),(383.4681496826475, 434.2228556444478)
,(435.4109647693731, 260.80496186429764),(424.4928392001197, 157.5047692429679),(383.81107855816725, 433.2834942729114)
,(435.28909542596796, 259.81241571265633),(424.9138371082324, 158.41183085133017),(384.1519255208032, 432.3433754782573)
,(435.833734460983, 258.9737451447109),(425.33587088974855, 159.31841095659345),(384.4954473691849, 431.4042307930866)
,(435.7118651175779, 257.9811989930696),(425.7566245085369, 160.22558590789916),(384.83677691708743, 430.4642871034282)
,(436.2565041525929, 257.14252842512417),(426.17849678183865, 161.13224118142887),(385.18071808065775, 429.52529590219046)
,(436.1346348091878, 256.14998227348286),(426.5990031382302, 162.0395307736949),(385.52247595283865, 428.5855078639593)
,(436.69382771265856, 255.3209447009278),(427.02072101174025, 162.94625787440503),(385.86678206708524, 427.6466504202053)
,(437.2384667476736, 254.48227413298238),(427.44090079583196, 163.85369875349338),(386.2088018757865, 426.7069576776261)
,(437.09929364671353, 253.49200606424083),(427.8595243474811, 164.7618586083673),(386.5486768904804, 425.7664870643761)
,(437.6439326817286, 252.6533354962954),(428.2795573170547, 165.66936745376287),(386.8911469301272, 424.8269583144465)
,(437.5047595807685, 251.66306742755384),(428.69791866792644, 166.57764812629574),(387.23148037047997, 423.8866534971783)
,(438.0639524842393, 250.8340298549988),(429.1178186775963, 167.48521849925822),(387.57434291844567, 422.9472679143623)
,(437.9247793832792, 249.84376178625723),(429.5358256755023, 168.39366230583167),(387.91496938608316, 422.0070692068835)
,(438.48397228675, 249.01472421370218),(429.9555169854986, 169.30132920746112),(388.25806073497847, 421.0677671647729)
,(438.3447991857899, 248.02445614496062),(430.37315955820236, 170.20994061035316),(388.5989272199624, 420.12765544831854)
,(438.91837562214096, 247.20530410067164),(430.79265336226393, 171.1176988096298),(388.9421943200377, 419.1884176200738)
,(439.47756852561173, 246.3762665281166),(431.2098140465521, 172.0265315574356),(389.2831445605546, 418.24833627599156)
,(439.3039203479448, 245.39145877510438),(431.62456875148007, 172.9364648158343),(389.6219135689388, 417.30746670003623)
,(439.8631132514156, 244.56242120254933),(432.04161124678575, 173.84535180391876),(389.9632236880793, 416.3675159552776)
,(439.6894650737487, 243.57761344953713),(432.45602740408015, 174.75543929892862),(390.302361802112, 415.4267793611077)
,(440.26304151009975, 242.75846140524814),(432.87298900368745, 175.66436340161977),(390.6439716192401, 414.4869374952379)
,(440.08939333243285, 241.77365365223594),(433.28693668883415, 176.5746640739043),(390.98331972082696, 413.54627662863965)
,(440.6629697687839, 240.95450160794695),(433.70372917459105, 177.48366573716822),(391.325071848506, 412.6064865014161)
,(440.489321591117, 239.96969385493475),(434.1171952899452, 178.39418524352376),(391.6645746336889, 411.66588145207123)
,(441.07710684340947, 239.1606768605598),(434.53386083365564, 179.30324510111535),(392.00641374547695, 410.7261229609407)
,(440.90345866574256, 238.17586910754758),(434.9466707817674, 180.21406228734975),(392.34592137557286, 409.78551966033694)
,(441.491243918035, 237.36685211317263),(435.36309910052626, 181.12323083901424),(392.6876994276168, 408.84573896084316)
,(442.0648203543861, 236.54770006888364),(435.775212860795, 182.03436323806343),(393.02716158618637, 407.90511924868565)
,(441.85690866356833, 235.56955246814985),(436.1827149764325, 182.94756750094825),(393.3644361614223, 406.9637129278552)
,(442.4304850999194, 234.75040042386087),(436.5948612319335, 183.85868520140002),(393.7040991523981, 406.02316571874695)
,(442.2055340455755, 233.77603035907563),(437.00179655689504, 184.7721421742775),(394.0415852691509, 405.0818352130269)
,(442.793319297868, 232.96701336470068),(437.4143169408415, 185.6830905442901),(394.3814759264621, 404.14137025298186)
,(442.5683682435241, 231.99264329991544),(437.8206678283763, 186.59680765379372),(394.7191106323367, 403.2000930327173)
,(443.17018326667613, 231.19400778986815),(438.2335488700021, 187.50759261494866),(395.0590764076671, 402.2596552242451)
,(442.94523221233226, 230.21963772508292),(438.63905429639846, 188.42168525202825),(395.3967127432493, 401.31837858855573)
,(443.5470472354843, 229.42100221503563),(439.05227989576025, 189.3323139381743),(395.736608455806, 400.37791545552733)
,(443.3220961811404, 228.4466321502504),(439.4569126855599, 190.24679319185856),(396.0741904752838, 399.43661933839667)
,(443.9377576564661, 227.65862139664367),(439.87081054317366, 191.15711652093606),(396.4139601833214, 398.4961106752255)
,(443.7128066021222, 226.68425133185843),(440.2741713358526, 192.0721575423823),(396.7513503734713, 397.55474578338465)
,(444.3284680774479, 225.8962405782517),(440.6888264917432, 192.98213616943536),(397.0908583883347, 396.61414262166153)
,(444.91625332974036, 225.08722358387675),(441.090803383965, 193.89778598138298),(397.42800601328383, 395.67269082842347)
,(444.64061597392333, 224.12596188793842),(441.4783032001504, 194.81965576202248),(397.7629939931528, 394.73046842721277)
,(445.2284012262158, 223.31694489356346),(441.88248748721855, 195.73433333476996),(398.10026873563936, 393.7890621663027)
,(444.95276387039877, 222.35568319762513),(442.2687161133972, 196.65673641819942),(398.43539407322885, 392.8468886111094)
,(445.5545788935508, 221.55704768757784),(442.67665048683267, 197.56974767057793),(398.7727255153007, 391.90550266571313)
,(445.2789415377338, 220.5957859916395),(443.06089364850635, 198.49297959848502),(399.1078415512645, 390.9633258020406)
,(445.89460301305945, 219.80777523803278),(443.47440774251606, 199.40347731625005),(399.44508479673016, 390.0219082573837)
