,(648, 363, 757, 517, 105, 273, 395, 424)
,(462, 409, 169, 377, 645, 30, 355, 278)
,(412, 585, 49, 95, 146, 498, 517, 181)
,(557, 99, 684, 358, 264, 377, 493, 70)
,(121, 570, 162, 101, 784, 191, 421, 427)
,(659, 422, 635, 550, 291, 530, 654, 292)
,(86, 464, 557, 472, 363, 151, 30, 426)
,(648, 132, 237, 369, 335, 431, 375, 131)
,(404, 482, 292, 538, 251, 218, 639, 337)
,(143, 431, 526, 506, 210, 57, 321, 301)
,(626, 501, 330, 513, 258, 294, 750, 446)
,(24, 328, 237, 416, 191, 570, 68, 393)
,(81, 574, 341, 157, 269, 117, 238, 424)
,(569, 18, 359, 136, 162, 356, 724, 529)
,(435, 171, 248, 397, 580, 39, 591, 415)
,(476, 320, 594, 21, 124, 144, 502, 432)
,(124, 439, 160, 397, 309, 492, 85, 507)
,(209, 21, 127, 441, 410, 368, 177, 152)
,(595, 237, 771, 502, 242, 91, 643, 314)
,(682, 149, 94, 75, 251, 44, 666, 353)
,(557, 295, 329, 179, 351, 192, 521, 319)
,(415, 448, 251, 48, 722, 491, 349, 305)
,(288, 526, 22, 191, 488, 581, 383, 328)
,(591, 345, 621, 583, 719, 234, 696, 369)
,(179, 385, 365, 32, 480, 539, 53, 365)
,(381, 292, 552, 125, 315, 328, 674, 470)
,(353, 85, 748, 221, 483, 408, 541, 178)
,(614, 138, 562, 564, 224, 467, 414, 274)
,(681, 496, 57, 365, 664, 442, 595, 496)
,(95, 190, 682, 311, 184, 401, 368, 71)
,(638, 203, 713, 442, 185, 334, 555, 186)
,(699, 140, 492, 24, 265, 445, 514, 228)
,(157, 503, 509, 23, 750, 276, 259, 518)
,(141, 182, 550, 505, 715, 339, 23, 192)
,(566, 554, 698, 516, 614, 160, 365, 480)
,(269, 444, 718, 352, 71, 44, 237, 508)
,(519, 373, 460, 255, 579, 503, 554, 382)
,(214, 560, 613, 192, 210, 69, 333, 329)
,(729, 570, 604, 550, 150, 532, 715, 278)
,(596, 95, 531, 439, 41, 51, 638, 106)
,(232, 452, 493, 172, 346, 568, 133, 312)
,(695, 337, 400, 104, 382, 184, 748, 195)
,(413, 494, 250, 191, 223, 190, 223, 495)
,(679, 527, 545, 318, 159, 564, 505, 495)
,(441, 545, 195, 154, 779, 130, 580, 577)
,(385, 564, 630, 516, 179, 457, 401, 307)
,(260, 77, 250, 284, 484, 291, 300, 116)
,(669, 450, 587, 44, 379, 168, 622, 262)
,(53, 519, 454, 537, 421, 450, 81, 474)
,(369, 401, 561, 184, 63, 555, 487, 321)
,(670, 497, 82, 399, 33, 554, 644, 253)
,(258, 205, 254, 161, 90, 395, 277, 289)
,(553, 64, 615, 319, 609, 218, 369, 87)
,(317, 497, 752, 285, 583, 62, 60, 500)
,(715, 220, 314, 432, 448, 498, 757, 79)
,(456, 492, 782, 417, 336, 260, 576, 541)
