,(690.1, 300.1),0,(520.5449944483607, 244.43422327209635),(562.7887121501896, 250.89825802354898)
,(684.9263857004423, 310.04635656021276),2,(519.2155326454614, 244.77590456632868),(560.7283500761769, 253.50820071455726)
,(679.4179340727508, 319.6318126483551),4,(518.0087287717918, 245.07579883687913),(558.7310026932597, 256.002401551941)
,(678.5661307031166, 329.367969714943),6,(519.1571003944501, 246.62893994107446),(561.1641342565259, 259.91577641435737)
,(672.4237189039318, 338.37260276401804),8,(518.0680983541521, 246.96456663472424),(559.168078379091, 262.4028940089208)
,(665.9980933132962, 346.98500797007125),10,(517.068123174338, 247.28322988784714),(557.2080766982008, 264.8031201342349)
,(659.3091141944585, 355.1965980667062),12,(516.1467390745964, 247.59205277721094),(555.2765227650782, 267.124472018497)
,(652.2768888317592, 362.8996928559136),14,(515.2938285439602, 247.89617249579135),(553.3654859171108, 269.3728238990035)
,(647.6248867041172, 371.0766191228773),16,(515.4054610442495, 248.9845891161367),(553.3738375397322, 272.70918471488574)
,(642.6194116552642, 378.89933356561164),18,(515.4894933195602, 250.11209927860136),(553.2681269956282, 276.1100627140186)
,(635.0231551964771, 385.60503583141724),20,(514.7005764433466, 250.45889354182236),(551.2391785988264, 278.2847483340909)
,(627.260044368863, 391.87861538689845),22,(513.94774755226, 250.80177530969024),(549.1991811346967, 280.38269863982345)
,(619.3509098342242, 397.7167943381921),24,(513.224500910268, 251.14003029810192),(547.1431780955195, 282.4015152957986)
,(611.3166008803042, 403.11721949543323),26,(512.5251090835592, 251.4722015778757),(545.067171691893, 284.3376975662354)
,(603.1779463575533, 408.0784594407549),28,(511.8446254223372, 251.7962376527471),(542.9682147001804, 286.18684554805964)
,(594.9557158514988, 412.6),30,(511.17887279001485, 252.10962377029603),(540.8444696460864, 287.9438606431558)
,(586.5705811544137, 416.5822381313051),32,(510.5244219250609, 252.40949769493568),(538.6952384530853, 289.6031391734803)
,(578.343078099334, 420.32647424621064),34,(509.8785620675519, 252.69275130980805),(536.5209659303082, 291.1587559200126)
,(569.993568818739, 423.53490298141935),36,(509.2392658742124, 252.9561194180235),(534.3232205558754, 292.6046351712965)
,(561.6422044893781, 426.31060244175995),38,(508.6051501666582, 253.19625703788665),(532.1046559616113, 293.9347075835752)
