,(700.0, 300.0),0,(491.42213676455316, 257.23373695257055),(576.8257658641116, 265.05751021517636)
,(699.8172481057287, 310.4698490107503),2,(491.68394041606825, 258.84844317139635),(578.2216145547036, 270.40597428721395)
,(694.3813948266481, 320.67815975451697),4,(489.356479612078, 259.4241873053455),(574.705971670936, 274.9097848559135)
,(693.4839591336406, 330.9358966639578),6,(489.59693143951824, 261.0573228564406),(575.7810169904511, 280.323760443707)
,(687.2777399350555, 340.46019927841905),8,(487.3692606049926, 261.4960684537138),(572.032928376481, 284.53141447221464)
,(685.6942483735403, 350.4579715234098),10,(487.5722527430144, 263.14841656669864),(572.7712686287747, 289.98782053976515)
,(681.3174352109693, 359.8746111101059),12,(486.57477839212874, 264.15390546201746),(571.0515837182178, 294.7128041218018)
,(676.634281988659, 369.0477402459053),14,(485.58312100486603, 265.13385674175476),(569.1886416128775, 299.3592963157248)
,(671.6564291025751, 377.9675530183023),16,(484.5945241520109, 266.0886135594649),(567.1829064093317, 303.92155396883345)
,(666.3958245626429, 386.6247584249853),18,(483.60649641768566, 267.01815911504104),(565.0352816384209, 308.3935802953619)
,(660.8647022680896, 395.0105897728731),20,(482.61681784076427, 267.92216628580684),(562.7471337324587, 312.76917949242863)
,(655.0755600058665, 403.1168131893759),22,(481.6235426293869, 268.800042902738),(560.3203088250832, 317.04201115094446)
,(646.7572735635023, 409.9188936304661),24,(479.6802917841925, 268.7943439616946),(555.7528774083556, 319.92396476828037)
,(642.7743925007751, 418.4602096330509),26,(479.6197856528648, 270.4739542788078),(555.060468786789, 325.25360727731174)
,(634.0811121076157, 424.5099641382611),28,(477.72803062629174, 270.3654085296796),(550.3293233035358, 327.76128041962215)
,(629.5967320028763, 432.6),30,(477.5850730654855, 272.0313313988646),(549.2803870135466, 332.97675149063997)
,(620.4925050006707, 437.7790087006333),32,(475.74109064233943, 271.819066367412),(544.4083933989515, 335.09275639371424)
,(615.5497688643109, 445.3901549023942),34,(475.51340252342294, 273.46164982231005),(543.0124872424632, 340.16076350780196)
,(606.3993335656116, 449.9852393345807),36,(473.71546293431754, 273.1437783879629),(538.0257089373675, 341.86890202160004)
,(601.0427421697141, 457.0936762080429),38,(473.4026661843859, 274.75328344327727),(536.2966359410107, 346.75731774602014)
,(591.6111107797444, 460.79690242163485),40,(471.6508989168426, 274.32735137887323),(531.224101728617, 348.0432185272453)
,(585.8862063693485, 467.3826515897146),42,(471.25434239166185, 275.8942108541795),(529.1795722176586, 352.7216812925746)
,(576.3382510829696, 470.2913007624544),44,(469.55057198512975, 275.35756277352084),(524.0529463154893, 353.5733450305545)
,(570.2913007624543, 476.3382510829695),46,(469.0731557616114, 276.87259186002393),(521.7141770256021, 358.0137604945827)
,(560.691345526126, 478.45475811457464),48,(467.4207190828251, 276.2226675357581),(516.5673570186832, 358.4220085584246)
,(554.3690263247695, 483.9506663485547),50,(466.8667200242914, 277.67723425091253),(513.9586287123233, 362.5989547603854)
,(544.7804467015296, 485.28252709757965),52,(465.27027306680856, 276.91180524450306),(508.8272935864271, 362.557781192531)
,(538.2295342887312, 490.2189936781127),54,(464.6451734494479, 278.29796711181757),(505.9754847238302, 366.4488233167341)
,(528.7143677982718, 490.7786416876596),56,(463.11049332139544, 277.4153219230634),(500.89661180048023, 365.9556532780139)
,(521.9814307736372, 495.151062115978),58,(462.4208136626877, 278.72593388891573),(497.8307222194638, 369.5415753899781)
