(Ax,Ay)
(398.42242128958776, 302.58711271766515)
(398.3366442431226, 302.52705098312487)
(398.25301557402304, 302.4640322608202)
(398.1716371709404, 302.39813332935694)
(398.09260818092343, 302.3294344764322)
(398.016024888623, 302.258019401016)
(397.94198059898406, 302.18397511137704)
(397.87056552356785, 302.1073918190766)
(397.8018666706431, 302.02836282905963)
(397.73596773917984, 301.946984425977)
(397.6729490168752, 301.86335575687747)
(397.6128872823349, 301.7775787104123)
(397.55585571153074, 301.68975779269965)
(397.5019237886467, 301.6)
(397.4511572214232, 301.5084146883577)
(397.40361786110253, 301.41511344036724)
(397.35936362707224, 301.3202099292274)
(397.31844843629966, 301.22381978024777)
(397.2809221376423, 301.12606042997703)
(397.2468304511146, 301.02705098312487)
(397.2162149121851, 300.92691206745104)
(397.18911282117205, 300.825765686799)
(397.1655571977986, 300.7237350724533)
(397.1455767409634, 300.6209445330008)
(397.1291957937753, 300.5175193028802)
(397.1164343138952, 300.41358538980296)
(397.10730784922055, 300.3092694212324)
(397.10182751894274, 300.20469849010755)
(397.1, 300.1)
(397.10182751894274, 299.9953015098925)
(397.10730784922055, 299.89073057876766)
(397.1164343138952, 299.7864146101971)
(397.1291957937753, 299.68248069711984)
(397.1455767409634, 299.57905546699925)
(397.1655571977986, 299.47626492754677)
(397.18911282117205, 299.37423431320104)
(397.2162149121851, 299.273087932549)
(397.24683045111453, 299.1729490168752)
(397.2809221376423, 299.073939570023)
(397.31844843629966, 298.9761802197523)
(397.35936362707224, 298.87979007077263)
(397.40361786110253, 298.7848865596328)
(397.4511572214232, 298.69158531164237)
(397.5019237886467, 298.6)
(397.55585571153074, 298.5102422073004)
(397.6128872823349, 298.42242128958776)
(397.6729490168752, 298.3366442431226)
(397.73596773917984, 298.25301557402304)
(397.8018666706431, 298.1716371709404)
(397.87056552356785, 298.09260818092343)
(397.94198059898406, 298.016024888623)
(398.016024888623, 297.94198059898406)
(398.09260818092343, 297.87056552356785)
(382.74473453846343, 279.4168000357876)
(381.0144942649046, 275.67166663819165)
(374.8252341514237, 265.3122692418773)
(372.69954772993344, 259.47715894480297)
(396.3905651503676, 294.16366332690507)
(395.6, 292.3057713659401)
(395.874755934927, 292.15347166426966)
(394.401175091742, 288.41567739811086)
(392.37200378155984, 282.7426363047906)
(390.7348351646022, 276.9204036358303)
(388.81333527025294, 269.09014351406506)
(387.43030323062715, 261.10668283189875)
(386.0424948533331, 251.07565350714572)
(385.34276436842026, 240.9119606971642)
(385.3382699519391, 230.6515203478998)
(385.6872012536448, 218.3609564999867)
(387.1569016107139, 208.00506960703396)
(389.1245113568964, 195.6752009863313)
(392.0780055194256, 185.3801342201202)
(395.66776391878244, 173.17736496857484)
(400.1, 163.1)
(405.2302260152677, 153.18954842819292)
(411.0517663778277, 143.4824441092076)
(417.7653102922334, 132.0257996827618)
(425.01198507185177, 122.84201569525891)
(432.91950557904977, 113.97133468069265)
(441.05860309109863, 107.40492265544029)
(450.1778323891312, 99.2487846608687)
(459.9133062122889, 91.50621198138481)
(469.62882373436315, 86.11228383359042)
(480.47473368153226, 79.27223411531153)
(491.12940220006664, 74.79432334027064)
(502.1908974120258, 70.80009013170712)
(513.638127018371, 67.31234200851574)
(525.4489072638328, 64.35299270666647)
(537.6, 61.94301395927938)
(549.0073132495305, 61.79848498004424)
(560.5883632961044, 62.16621667670305)
(572.3210789216946, 63.05802064814038)
(584.1827811223719, 64.48478467159018)
(596.1502209543945, 66.45644484871167)
(606.8613573648871, 70.46824892748506)
(618.9173866945841, 73.50796289332487)
(629.5693963080297, 78.50397982357975)
(640.1357786291984, 83.97081414608883)
(649.0644440136679, 91.19402685187464)
(659.3555379366115, 97.54737461785845)
(667.8846251381076, 105.54308149119132)
(676.169511660829, 113.88876314424138)
(684.1961122124027, 122.57704648187632)
(691.9505610753557, 131.59999999999985)
(697.6533387934584, 141.88808334115478)
(704.7911816954175, 151.4921812385026)
(709.7919101408418, 162.21627799730373)
(714.4153266981409, 173.10836483200572)
(718.655798446423, 184.15517141259832)
(720.6060459914668, 195.96127289564265)
(722.1226681393368, 207.76148580130535)
(725.1490683024589, 219.05616497411125)
(725.8231510443574, 230.86540695768596)
(724.1017507410164, 242.96974954757988)
(723.9176584784935, 254.59039598605844)
(721.3305722039523, 266.337306364548)
(720.3180601334036, 277.7081719281357)
(716.9068921650534, 289.03685954530727)
(713.1, 300.09999999999997)
