,(400.46770097362014, 299.1161132429577),(293.7241941915007, 277.310403905901),(293.9563042739791, 277.70762671878344)
,(400.9354019472403, 298.23222648591536),(294.4508045170835, 276.6233541007511),(294.91260854795814, 277.4152534375669)
,(401.4031029208604, 297.34833972887304),(295.17986096117994, 275.93890052210503),(295.8689128219372, 277.12288015635033)
,(401.87080389448056, 296.4644529718307),(295.9113940744131, 275.2570946081945),(296.8252170959163, 276.8305068751338)
,(402.3385048681007, 295.5805662147884),(296.64543498354595, 274.57798935588124),(297.78152136989536, 276.5381335939172)
,(402.80620584172084, 294.6966794577461),(297.38201540127574, 273.9016393812253),(298.73782564387443, 276.24576031270067)
,(403.273906815341, 293.81279270070377),(298.1211676358247, 273.2281009827941),(299.6941299178535, 275.9533870314841)
,(403.7416077889611, 292.92890594366145),(298.8629246002712, 272.55743220784245),(300.6504341918326, 275.66101375026756)
,(404.20930876258126, 292.04501918661913),(299.60731982155886, 271.8896929215008),(301.60673846581165, 275.368640469051)
,(404.6770097362014, 291.1611324295768),(300.3543874491134, 271.2249448791118),(302.5630427397907, 275.07626718783445)
,(405.14471070982154, 290.2772456725345),(301.104162262988, 270.56325180186275),(303.5193470137698, 274.7838939066179)
,(405.6124116834417, 289.3933589154922),(301.8566796814493, 269.9046794558655),(304.47565128774886, 274.49152062540134)
,(406.0801126570618, 288.50947215844985),(302.6119757679051, 269.24929573484053),(305.43195556172793, 274.1991473441848)
,(406.54781363068196, 287.62558540140753),(303.37008723706305, 268.59717074656663),(306.388259835707, 273.9067740629682)
,(407.0155146043021, 286.7416986443652),(304.1310514601973, 267.9483769032622),(307.3445641096861, 273.61440078175167)
,(407.48321557792224, 285.8578118873229),(304.89490646938526, 267.30298901606693),(308.30086838366515, 273.3220275005351)
,(407.9509165515424, 284.9739251302806),(305.661690960561, 266.66108439379633),(309.2571726576442, 273.02965421931856)
,(408.4186175251625, 284.09003837323826),(306.4314442952136, 266.0227429461438),(310.2134769316233, 272.737280938102)
,(408.88631849878266, 283.20615161619594),(307.2042065005414, 265.3880472915053),(311.16978120560236, 272.44490765688545)
