(Ax,Ay),(Bx,By),(Cx,Cy),(Dx,Dy)
(366.67272579911594, 110.52450754514996),(368.7433280199525, 122.73460445780256),(354.8514738065981, 43.9499842168259),(378.0466814362999, 175.02941536744956)
(372.9612453127872, 106.9977265953938),(374.0050435699877, 114.42473711095556),(363.8149937503829, 42.53030212719176),(381.8683237742314, 170.3748829948543)
(379.4556285046385, 103.681925664766),(379.7169496628076, 106.16823040318667),(372.82259955041013, 41.42430720424892),(385.77960053233153, 163.85050033454655)
(386.3230964355352, 103.08110007368472),(386.1487052511749, 100.58718994803516),(381.86331682652735, 40.633346932445704),(390.40385014956655, 161.43859701388442)
(386.3230964355352, 103.08110007368472),(392.8583544342311, 92.72640339353761),(390.9261308573498, 40.15838497503512),(395.10937197154243, 157.1871117362693)
(400.09999999999997, 100.1),(400.09999999999997, 87.6),(400.09999999999997, 43.849999999999994),(400.1, 153.1)
(407.0798993405003, 100.22183459618084),(407.6778892745503, 80.13401805579892),(408.7376254338691, 52.75077031277381),(405.36982400207773, 149.19198512011653)
(413.9640991566449, 101.83414501085991),(415.7952065924282, 75.64808869153953),(417.80070521257176, 46.96812224656961),(410.7727404828512, 147.47270031024686)
(421.2670138116997, 98.70931618792463),(422.9656013397991, 82.5483353881902),(427.17740044958975, 41.42430720424892),(416.5109687330215, 143.96006242718107)
(428.97841844921356, 94.61937573612414),(432.1098132208151, 72.3383441894388),(436.80690537821727, 38.91679686941082),(422.2285230526504, 142.6473770700903)
(436.56611731005535, 93.29037186743628),(441.7755626400632, 63.74613927707004),(446.5508875259038, 36.663926069234336),(428.4046529597096, 139.57633625901008)
(444.54112391229614, 91.02095034314905),(451.81803309091777, 56.785784317465854),(456.75593574783943, 33.55477880003799),(434.4054289849303, 138.70564587892207)
(452.7180122929277, 89.06067953497073),(462.697290486414, 49.035980826085876),(466.93092365940817, 32.055805616255945),(440.50095656514446, 138.06061371190856)
(460.6402182797399, 88.52242689356987),(473.83299268104736, 42.96249633649973),(477.27845962875983, 30.946725137270754),(446.6827131330729, 137.64677338642412)
(468.8562812484257, 88.48992512432831),(485.8522159390478, 36.181816728094866),(488.16984339685996, 29.048892855881213),(452.94190603811603, 137.46933571352872)
(477.05453224827556, 88.66916032317063),(497.57574084781567, 32.287603076016126),(498.4307912061298, 29.938371524051355),(459.6115049386664, 136.59348398325196)
(485.32300000212, 89.16567308605585),(510.6089450576941, 26.58076290279769),(508.73591209061453, 31.216682175631632),(466.0307604412005, 136.91564159624542)
(493.64942790743396, 89.98454474220173),(523.1378345304295, 23.7524990631132),(520.0873097073609, 30.604089995432705),(471.68564918134075, 139.3159994549022)
(502.0212916284605, 91.13038423544364),(535.995055504614, 21.473845647258237),(531.5113440367232, 30.36178611024991),(478.1300641284558, 140.11465975874827)
(510.42581725468426, 92.60731567815213),(549.1572211845203, 19.764139267290656),(540.8414688357672, 35.115722142321886),(484.6048813014603, 141.16943328539313)
(517.6, 96.58403011065693),(562.6, 18.641743770057445),(550.0, 40.1923788646684),(490.6, 143.3494019150166)
(525.9558252553861, 98.68857716284879),(576.2981553575405, 18.124008027988303),(561.7253755911274, 41.44533067229003),(496.0153868262101, 146.60329459568686)
(532.9083145743025, 103.2035765181776),(588.8276049213771, 20.29981926267345),(572.0518178172547, 45.17094643932471),(501.873108431676, 149.2151617949824)
(541.1684605501935, 105.93592135001258),(602.8859120409031, 20.989136940643107),(580.8439650799355, 51.32727422970363),(507.0769159172301, 152.85890702375954)
(547.8587540781581, 110.97741913438676),(615.5815163639804, 24.296236237647385),(590.9550573509541, 55.81666638191624),(512.1503885092699, 156.68204284357662)
(554.3690263247695, 116.24933365144524),(629.8965704629377, 26.239111584965308),(600.9711280270435, 60.711111525319325),(517.0873449629502, 160.67991135234598)
(562.364172042023, 119.88737982173183),(642.6598448050861, 30.71000076444447),(609.2033144871432, 67.86724203831417),(520.5435091445944, 166.33393141406896)
(568.5546548363068, 125.66009841787707),(655.3869511436815, 35.7426233755457),(618.9173866945841, 73.50796289332487),(525.1385066826195, 170.61883593904278)
(574.5399015821229, 131.6453451636931),(668.0540756261476, 41.339757004023404),(626.6920371066751, 81.28261330541577),(528.1424844602799, 176.45081005829843)
(580.312620178268, 137.8358279579769),(678.7793095540228, 49.17602261542821),(636.0484820890728, 87.65103248106253),(532.3797789349762, 180.99475206812323)
(585.8657774563521, 144.22400465101416),(691.0968883852115, 55.74070831911496),(643.3191106902755, 96.01493392452369),(534.9238219889402, 186.969380695169)
(589.2225808656133, 152.34124592184202),(701.5141132545712, 64.60948568793575),(650.2934142701342, 104.62748158410352),(537.2138711275696, 192.97490329333547)
(594.2640786499874, 159.0315394498064),(711.5715428343547, 73.80267786739776),(656.9628957140459, 113.4781823971397),(539.250923032491, 199.0009366056946)
(599.0690174132101, 165.89370316702082),(723.4246532964664, 82.01476764640883),(663.3194292862258, 122.55625314803795),(541.0363873343571, 205.0372064099731)
(603.6315430775422, 172.91937658403077),(730.8387575010061, 93.43148694905003),(671.4753907700563, 130.5258354453744),(540.8759839619668, 212.13340213728796)
(605.7810333988041, 181.34999999999988),(740.014970985392, 103.84999999999982),(675.0630657015593, 141.34999999999985),(542.1281662206479, 218.09999999999994)
(609.8000533039951, 188.6005038383509),(748.8642991792761, 114.65873269957314),(680.4358607327094, 151.04277881547966),(543.1375100431461, 224.0456068286857)
(611.3166008803042, 197.0827805045667),(755.1236482881709, 126.94339701831426),(685.4671096999855, 160.9171608944678),(542.1094593152684, 230.8373588073257)
(614.7831825460112, 204.51688887718694),(763.2343194129339, 138.42218437736943),(690.1506828015258, 170.96111582343343),(542.6130913922458, 236.64908368017515)
(615.6702461867782, 213.00396703080037),(768.655582190298, 151.19387911717484),(692.162914188538, 182.09892307398758),(541.0319458941517, 243.15979780078132)
(616.229302780759, 221.43536703509622),(773.6278167623987, 164.14699302804675),(696.1031755475612, 192.36365485241438),(541.0538931178863, 248.7969785011497)
(618.8429987478853, 229.02609129376202),(778.1449652273235, 177.26574473595832),(699.6828026329733, 202.7596467718915),(538.9542513790924, 254.98351882125763)
(618.7870358259676, 237.39250155163273),(779.7983698956359, 191.2232444522854),(702.8974342205704, 213.27423291764532),(536.5991608232413, 260.9594954739862)
(618.4165384120993, 245.66757349007474),(783.3668118790187, 204.54085123813118),(703.317414461249, 224.4994076251038),(534.0008102260875, 266.71477840724583)
(615.1924721614372, 254.25942802009283),(786.4683022898532, 217.97488212698485),(703.3257562274797, 235.6473758464944),(531.1717784983299, 272.2398334304202)
(616.6577056626858, 261.79740091327534),(786.6370430572917, 231.94309026572984),(705.3904034337845, 246.26906492325156),(528.1250078915871, 277.52573690329905)
(617.8589751231455, 269.38191778878553),(786.3045468092124, 245.8224906255743),(704.6074311380329, 257.3042714547797),(524.8737766614379, 282.5641892790317)
(613.9222075041789, 277.62638039745457),(785.4772344552058, 259.5952204837844),(703.4291780873234, 268.21881870336574),(519.4426274441928, 287.5565844078816)
(612.0823606802127, 285.27674932937333),(784.1621593500323, 273.2437576085116),(704.3570353292464, 278.82427550804175),(515.8174298301396, 292.00824904568145)
(609.9720736740101, 292.77110569247486),(782.3669913348042, 286.7509425112935),(699.8172481057287, 289.53015098924976),(512.0317726261387, 296.19125636931994)
