,(486.8880723726047, 306.1688132157389),4,0,87
,(491.87589262390384, 306.51759558445957),4,0,92
,(496.86371287520296, 306.8663779531802),4,0,97
,(501.8515331265021, 307.2151603219008),4,0,102
,(506.8393533778012, 307.56394269062145),4,0,107
,(511.82717362910034, 307.91272505934205),4,0,112
,(516.8149938803995, 308.26150742806266),4,0,117
,(521.8028141316986, 308.6102897967833),4,0,122
,(526.7906343829977, 308.9590721655039),4,0,127
,(531.7784546342968, 309.3078545342246),4,0,132
,(536.766274885596, 309.6566369029452),4,0,137
,(541.754095136895, 310.0054192716658),4,0,142
,(546.7419153881941, 310.35420164038646),4,0,147
,(551.7297356394932, 310.70298400910707),4,0,152
,(556.7175558907924, 311.0517663778277),4,0,157
,(561.7053761420915, 311.40054874654834),4,0,162
,(566.6931963933906, 311.74933111526894),4,0,167
,(571.6810166446897, 312.09811348398955),4,0,172
,(576.6688368959889, 312.4468958527102),4,0,177
,(581.656657147288, 312.7956782214308),4,0,182
,(586.6444773985871, 313.1444605901514),4,0,187
,(591.6322976498863, 313.4932429588721),4,0,192
,(596.6201179011854, 313.8420253275927),4,0,197
,(601.6079381524845, 314.19080769631336),4,0,202
,(606.5957584037836, 314.53959006503396),4,0,207
,(611.5835786550828, 314.88837243375457),4,0,212
,(616.5713989063819, 315.23715480247523),4,0,217
,(621.559219157681, 315.58593717119584),4,0,222
,(626.5470394089801, 315.93471953991644),4,0,227
,(631.5348596602793, 316.2835019086371),4,0,232
,(636.5226799115784, 316.6322842773577),4,0,237
,(641.5105001628775, 316.9810666460784),4,0,242
,(646.4983204141766, 317.329849014799),4,0,247
,(651.4861406654758, 317.6786313835196),4,0,252
,(656.4739609167749, 318.02741375224025),4,0,257
,(661.461781168074, 318.37619612096086),4,0,262
,(666.4496014193732, 318.72497848968146),4,0,267
,(671.4374216706723, 319.0737608584021),4,0,272
,(676.4252419219714, 319.42254322712273),4,0,277
,(681.4130621732704, 319.77132559584334),4,0,282
,(686.4008824245695, 320.120107964564),4,0,287
,(691.3887026758687, 320.4688903332846),4,0,292
,(696.3765229271678, 320.8176727020052),4,0,297
,(698.3716510276874, 320.9571856494935),4,1,299
,(700.3667791282071, 321.09669859698175),4,1,301
,(702.3619072287267, 321.23621154447),4,1,303
,(704.3570353292464, 321.37572449195824),4,1,305
,(706.352163429766, 321.5152374394465),4,1,307
,(708.3472915302857, 321.6547503869347),4,1,309
,(710.3424196308054, 321.794263334423),4,1,311
,(712.337547731325, 321.93377628191126),4,1,313
,(714.3326758318447, 322.0732892293995),4,1,315
,(706.352163429766, 321.5152374394465),4,1,307
,(402.0890437907366, 300.30905692653533),6,1,2
,(407.0616532675779, 300.8316992428736),6,0,7
,(412.0342627444193, 301.3543415592119),6,0,12
,(417.00687222126066, 301.87698387555014),6,0,17
,(421.97948169810206, 302.3996261918884),6,0,22
,(426.9520911749434, 302.9222685082267),6,0,27
,(431.92470065178475, 303.44491082456494),6,0,32
,(436.89731012862615, 303.9675531409032),6,0,37
,(441.8699196054675, 304.49019545724144),6,0,42
,(446.8425290823089, 305.01283777357975),6,0,47
,(451.8151385591502, 305.535480089918),6,0,52
,(456.7877480359916, 306.05812240625625),6,0,57
,(461.76035751283297, 306.58076472259455),6,0,62
,(466.7329669896743, 307.1034070389328),6,0,67
,(471.7055764665157, 307.62604935527105),6,0,72
,(476.67818594335705, 308.14869167160936),6,0,77
,(481.65079542019845, 308.6713339879476),6,0,82
,(486.6234048970398, 309.19397630428585),6,0,87
,(491.5960143738812, 309.71661862062416),6,0,92
,(496.56862385072253, 310.2392609369624),6,0,97
,(501.5412333275639, 310.76190325330066),6,0,102
,(506.5138428044053, 311.28454556963896),6,0,107
,(511.4864522812466, 311.8071878859772),6,0,112
,(516.459061758088, 312.32983020231546),6,0,117
,(521.4316712349294, 312.85247251865377),6,0,122
,(526.4042807117708, 313.375114834992),6,0,127
,(531.376890188612, 313.89775715133027),6,0,132
,(536.3494996654534, 314.4203994676686),6,0,137
,(541.3221091422948, 314.9430417840068),6,0,142
,(546.2947186191362, 315.4656841003451),6,0,147
,(551.2673280959776, 315.9883264166833),6,0,152
,(556.2399375728189, 316.5109687330216),6,0,157
,(561.2125470496603, 317.0336110493599),6,0,162
,(566.1851565265016, 317.5562533656981),6,0,167
,(571.157766003343, 318.07889568203643),6,0,172
,(576.1303754801844, 318.6015379983747),6,0,177
,(581.1029849570258, 319.12418031471293),6,0,182
,(586.0755944338672, 319.64682263105124),6,0,187
,(591.0482039107085, 320.1694649473895),6,0,192
,(596.0208133875499, 320.69210726372773),6,0,197
,(600.9934228643912, 321.21474958006604),6,0,202
,(605.9660323412326, 321.7373918964043),6,0,207
,(610.938641818074, 322.26003421274254),6,0,212
,(615.9112512949154, 322.78267652908085),6,0,217
,(620.8838607717568, 323.3053188454191),6,0,222
,(625.856470248598, 323.82796116175734),6,0,227
,(630.8290797254394, 324.35060347809565),6,0,232
,(635.8016892022807, 324.8732457944339),6,0,237
,(640.7742986791221, 325.39588811077215),6,0,242
,(645.7469081559635, 325.91853042711045),6,0,247
,(650.7195176328049, 326.4411727434487),6,0,252
,(655.6921271096463, 326.96381505978695),6,0,257
,(660.6647365864876, 327.48645737612526),6,0,262
,(665.637346063329, 328.0090996924635),6,0,267
,(670.6099555401703, 328.53174200880176),6,0,272
,(675.5825650170117, 329.05438432514006),6,0,277
,(680.5551744938531, 329.5770266414783),6,0,282
,(685.5277839706945, 330.09966895781656),6,0,287
,(690.5003934475359, 330.6223112741548),6,0,292
,(692.4894372382724, 330.8313682006901),6,1,294
,(694.4784810290089, 331.04042512722543),6,1,296
,(696.4675248197454, 331.24948205376074),6,1,298
,(698.456568610482, 331.45853898029605),6,1,300
,(700.4456124012186, 331.66759590683137),6,1,302
,(702.4346561919551, 331.8766528333667),6,1,304
,(704.4236999826916, 332.085709759902),6,1,306
,(706.4127437734281, 332.2947666864373),6,1,308
,(708.4017875641647, 332.5038236129726),6,1,310
,(713.3743970410061, 333.02646592931086),6,0,315
,(718.3470065178475, 333.5491082456491),6,0,320
,(723.3196159946889, 334.0717505619874),6,0,325
,(725.3086597854254, 334.2808074885227),6,1,327
,(727.297703576162, 334.48986441505804),6,1,329
,(729.2867473668986, 334.6989213415933),6,1,331
,(731.275791157635, 334.90797826812866),6,1,333
,(733.2648349483716, 335.1170351946639),6,1,335
,(735.2538787391081, 335.3260921211992),6,1,337
,(737.2429225298447, 335.53514904773454),6,1,339
,(739.2319663205811, 335.74420597426985),6,1,341
,(741.2210101113177, 335.95326290080516),6,1,343
,(733.2648349483716, 335.1170351946639),6,1,335
,(402.08053613748314, 300.3783462019202),8,1,2
,(407.03187648119103, 301.07421170672046),8,0,7
,(411.9832168248989, 301.7700772115208),8,0,12
,(416.9345571686067, 302.46594271632114),8,0,17
,(421.88589751231456, 303.1618082211215),8,0,22
,(426.8372378560224, 303.8576737259218),8,0,27
,(431.7885781997303, 304.5535392307221),8,0,32
,(436.73991854343814, 305.24940473552243),8,0,37
,(441.691258887146, 305.94527024032277),8,0,42
,(446.6425992308538, 306.6411357451231),8,0,47
,(451.59393957456166, 307.33700124992345),8,0,52
,(456.54527991826956, 308.0328667547237),8,0,57
,(461.4966202619774, 308.72873225952407),8,0,62
,(466.44796060568524, 309.4245977643244),8,0,67
,(471.3993009493931, 310.12046326912474),8,0,72
,(476.3506412931009, 310.8163287739251),8,0,77
,(481.3019816368088, 311.51219427872536),8,0,82
,(486.25332198051666, 312.2080597835257),8,0,87
,(491.2046623242245, 312.90392528832604),8,0,92
,(496.15600266793234, 313.5997907931264),8,0,97
,(501.1073430116402, 314.2956562979267),8,0,102
,(506.0586833553481, 314.99152180272705),8,0,107
,(511.0100236990559, 315.68738730752733),8,0,112
,(515.9613640427638, 316.38325281232767),8,0,117
,(520.9127043864715, 317.079118317128),8,0,122
,(525.8640447301794, 317.77498382192834),8,0,127
,(530.8153850738873, 318.4708493267287),8,0,132
,(535.7667254175951, 319.16671483152896),8,0,137
,(540.718065761303, 319.8625803363293),8,0,142
,(545.6694061050108, 320.55844584112964),8,0,147
,(550.6207464487187, 321.25431134593),8,0,152
,(555.5720867924266, 321.9501768507303),8,0,157
,(560.5234271361344, 322.64604235553065),8,0,162
,(565.4747674798423, 323.34190786033093),8,0,167
,(570.4261078235501, 324.0377733651313),8,0,172
,(575.377448167258, 324.7336388699316),8,0,177
,(580.3287885109659, 325.42950437473195),8,0,182
,(585.2801288546736, 326.1253698795323),8,0,187
,(590.2314691983815, 326.82123538433257),8,0,192
,(595.1828095420893, 327.5171008891329),8,0,197
,(600.1341498857972, 328.21296639393324),8,0,202
,(605.0854902295051, 328.9088318987336),8,0,207
,(610.0368305732129, 329.6046974035339),8,0,212
,(614.9881709169208, 330.3005629083342),8,0,217
,(619.9395112606286, 330.99642841313454),8,0,222
,(624.8908516043365, 331.6922939179349),8,0,227
,(629.8421919480444, 332.3881594227352),8,0,232
,(634.7935322917522, 333.08402492753555),8,0,237
,(639.7448726354601, 333.77989043233583),8,0,242
,(644.6962129791679, 334.47575593713617),8,0,247
,(649.6475533228758, 335.1716214419365),8,0,252
,(654.5988936665836, 335.86748694673685),8,0,257
,(659.5502340102914, 336.5633524515372),8,0,262
,(664.5015743539993, 337.25921795633747),8,0,267
,(669.4529146977071, 337.9550834611378),8,0,272
,(674.404255041415, 338.65094896593814),8,0,277
,(679.3555953851229, 339.3468144707385),8,0,282
,(684.3069357288307, 340.0426799755388),8,0,287
,(686.2874718663139, 340.3210261774589),8,1,289
,(688.268008003797, 340.5993723793791),8,1,291
,(690.2485441412801, 340.8777185812992),8,1,293
,(692.2290802787633, 341.15606478321934),8,1,295
,(694.2096164162464, 341.43441098513944),8,1,297
,(696.1901525537295, 341.7127571870596),8,1,299
,(698.1706886912127, 341.9911033889797),8,1,301
,(700.1512248286958, 342.26944959089985),8,1,303
,(702.1317609661791, 342.54779579282),8,1,305
,(707.0831013098868, 343.2436612976203),8,0,310
,(712.0344416535946, 343.93952680242063),8,0,315
,(716.9857819973025, 344.63539230722097),8,0,320
,(718.9663181347856, 344.91373850914107),8,1,322
,(720.9468542722688, 345.1920847110612),8,1,324
,(722.927390409752, 345.4704309129813),8,1,326
,(724.9079265472351, 345.7487771149015),8,1,328
,(726.8884626847183, 346.02712331682164),8,1,330
,(728.8689988222014, 346.30546951874175),8,1,332
,(730.8495349596845, 346.5838157206619),8,1,334
,(732.8300710971677, 346.862161922582),8,1,336
,(734.8106072346508, 347.14050812450216),8,1,338
,(726.8884626847183, 346.02712331682164),8,1,330
,(402.06961550602443, 300.4472963553339),10,1,2
,(406.99365427108546, 301.31553724366853),10,0,7
,(411.91769303614655, 302.18377813200317),10,0,12
,(416.8417318012076, 303.05201902033787),10,0,17
,(421.7657705662686, 303.9202599086725),10,0,22
,(426.6898093313296, 304.78850079700715),10,0,27
,(431.61384809639065, 305.6567416853418),10,0,32
,(436.53788686145174, 306.5249825736764),10,0,37
,(441.46192562651277, 307.3932234620111),10,0,42
,(446.3859643915738, 308.26146435034576),10,0,47
,(451.3100031566348, 309.1297052386804),10,0,52
,(456.23404192169585, 309.99794612701504),10,0,57
,(461.15808068675693, 310.8661870153497),10,0,62
,(466.08211945181796, 311.7344279036844),10,0,67
,(471.006158216879, 312.602668792019),10,0,72
,(475.93019698194007, 313.47090968035366),10,0,77
,(480.8542357470011, 314.3391505686883),10,0,82
,(485.7782745120621, 315.20739145702294),10,0,87
,(490.70231327712315, 316.07563234535763),10,0,92
,(495.6263520421842, 316.9438732336923),10,0,97
,(500.5503908072452, 317.8121141220269),10,0,102
,(505.4744295723063, 318.68035501036155),10,0,107
,(510.3984683373673, 319.54859589869625),10,0,112
,(515.3225071024284, 320.4168367870309),10,0,117
,(520.2465458674894, 321.2850776753655),10,0,122
,(525.1705846325505, 322.15331856370017),10,0,127
,(530.0946233976115, 323.0215594520348),10,0,132
,(535.0186621626725, 323.8898003403695),10,0,137
,(539.9427009277335, 324.75804122870414),10,0,142
,(544.8667396927946, 325.6262821170388),10,0,147
,(549.7907784578557, 326.4945230053734),10,0,152
,(554.7148172229166, 327.36276389370806),10,0,157
,(559.6388559879778, 328.23100478204276),10,0,162
,(564.5628947530388, 329.0992456703774),10,0,167
,(569.4869335180998, 329.96748655871204),10,0,172
