,(739.1, 300.1),0
,(734.895927051397, 311.79133139533786),2
,(729.296136585742, 323.1196363355614),4
,(722.3250940993206, 333.96722209871973),6
,(716.9857819973025, 344.63539230722097),8
,(706.3752111867967, 354.10458325441533),10
,(698.4350182238107, 363.51306569941664),12
,(692.159013609075, 372.9184905755),14
,(648.1055175520863, 371.2144378007858),16
,(637.8641290737884, 377.3542485937369),18
,(627.5056142301898, 382.8688746848119),20
,(617.0610219686283, 387.7579428593234),22
,(606.5612734272278, 392.02248133513086),24
,(630.1912758525867, 412.32301357800384),26
,(585.5189945003747, 398.6890281850371),28
,(573.3050807568878, 400.1),30
,(561.2291382697209, 400.7846602043089),32
,(549.3267630599075, 400.7547226247345),34
,(537.6328890437411, 400.02349288972044),36
,(526.1817205770756, 398.60583605210536),38
,(515.0066664678467, 396.5181414529809),40
,(505.62656521779, 395.1165461029579),42
,(492.17549444334736, 389.01627141875167),44
,(480.6803709732437, 383.54341683928357),46
,(471.027844274039, 378.8733515006038),48
,(471.4494246752059, 385.13093318620656),50
,(450.584240976704, 364.71688179575125),52
,(442.4205381650581, 358.34922359499626),54
,(445.3946251811305, 367.2520433769584),56
,(425.53612468319386, 340.80630861550844),58
,(419.1, 333.0089653438087),60
,(414.1841468835768, 326.5884277857678),62
,(409.74416522935974, 319.8734690185817),64
,(406.6077862892128, 314.71672732228166),66
,(404.595279120991, 311.22620625480147),68
,(403.5202014332567, 309.49692620785913),70
,(402.5721359549996, 307.70845213036125),72
,(417.189516060654, 359.69822514817577),74
,(412.67993857118273, 350.55537776635185),76
,(410.495584540888, 349.0073800366903),78
,(407.21957528434416, 340.47711787350056),80
,(405.5277509374426, 338.72045468092125),82
,(403.13132543476195, 328.94113496567996),84
,(401.6346424223708, 322.0464091057162),86
,(400.867788927455, 322.0865981944201),88
,(400.1, 304.1),90
,(400.1, 300.1),92
,(400.1, 300.1),94
,(400.1, 300.1),96
,(400.1, 300.1),98
,(400.1, 300.1),100
,(400.1, 300.1),102
,(396.471171566005, 314.65443589413997),104
,(400.1, 300.1),106
,(400.1, 300.1),108
,(400.1, 300.1),110
,(400.1, 300.1),112
,(395.21916028309045, 311.06254549171126),114
,(400.1, 300.1),116
,(400.1, 300.1),118
,(400.1, 300.1),120
,(400.1, 300.1),122
,(400.1, 300.1),124
,(400.1, 300.1),126
,(400.1, 300.1),128
,(400.1, 300.1),130
,(400.1, 300.1),132
,(400.1, 300.1),134
,(400.1, 300.1),136
,(400.1, 300.1),138
,(400.1, 300.1),140
,(400.1, 300.1),142
,(400.1, 300.1),144
,(400.1, 300.1),146
,(400.1, 300.1),148
,(400.1, 300.1),150
,(400.1, 300.1),152
,(400.1, 300.1),154
,(400.1, 300.1),156
,(400.1, 300.1),158
,(400.1, 300.1),160
,(400.1, 300.1),162
,(400.1, 300.1),164
,(400.1, 300.1),166
,(400.1, 300.1),168
,(400.1, 300.1),170
,(400.1, 300.1),172
,(400.1, 300.1),174
,(400.1, 300.1),176
,(400.1, 300.1),178
,(400.1, 300.1),180
,(400.1, 300.1),182
,(400.1, 300.1),184
,(400.1, 300.1),186
,(400.1, 300.1),188
,(400.1, 300.1),190
,(400.1, 300.1),192
,(400.1, 300.1),194
,(400.1, 300.1),196
,(400.1, 300.1),198
,(400.1, 300.1),200
,(400.1, 300.1),202
,(400.1, 300.1),204
,(400.1, 300.1),206
,(400.1, 300.1),208
,(400.1, 300.1),210
,(400.1, 300.1),212
,(400.1, 300.1),214
,(400.1, 300.1),216
,(400.1, 300.1),218
,(397.03582222752414, 297.5288495612539),220
,(385.2371034904521, 286.7173878728229),222
,(389.30990299492026, 289.68012444311506),224
,(377.8709321453121, 277.08112638916316),226
,(381.364343021952, 279.29194488663296),228
,(375.031283222225, 270.2242667183599),230
,(369.93258770904276, 261.4874730732706),232
,(371.8863078899613, 261.26718427000253),234
,(368.2260045021675, 252.8448583643626),236
,(365.6552478248417, 244.97687374983232),238
,(361.59999999999997, 233.41604390859825),240
,(393.52739812099753, 287.73873369997506),242
,(392.20931935779663, 283.921707166615),244
,(390.3383205661808, 278.1749090165776),246
,(388.11258901069084, 270.43011665386285),248
,(385.73515398032197, 260.6329099269919),250
,(384.6491502812527, 252.5471741852423),252
,(383.5617586509801, 242.42429824370086),254
,(383.16546730802327, 232.17929916068024),256
,(383.05124135294375, 219.89189673982796),258
,(383.77707129930855, 207.52807121685245),260
,(385.6259975001532, 197.1121208508767),262
,(387.9746982609522, 184.73546013728028),264
,(391.3106843082402, 174.40692966726215),266
,(395.3536684484599, 164.18284752540296),268
,(400.1, 152.1),270
,(405.61412047899523, 142.19624933098285),272
,(411.81908758901307, 132.5092395563495),274
,(418.70606646164225, 123.07510262444734),276
,(426.2645429804923, 113.92960307658475),278
,(434.48233917805214, 105.10806490358277),280
,(443.34563169009397, 96.64529904736844),282
,(452.3551294495282, 90.51612312438473),284
,(462.3940424146419, 82.85485671793995),286
