,(780.0, 300.0),0,,,(780.0, 300.0)
,(774.8715601321609, 313.1873112634379),2,,,(774.8715601321609, 313.1873112634379)
,(769.1986985961349, 325.90989528532634),4,,,(769.1986985961349, 325.90989528532634)
,(765.5867965478404, 338.5142102508627),6,,,(765.5867965478404, 338.5142102508627)
,(759.0721749188193, 350.55024909802376),8,,,(759.0721749188193, 350.55024909802376)
,(752.1687717018644, 362.17922351592756),10,,,(752.1687717018644, 362.17922351592756)
,(744.8970292586664, 373.3888710132602),12,,,(744.8970292586664, 373.3888710132602)
,(737.2777648809088, 384.1678587208845),14,,,(737.2777648809088, 384.1678587208845)
,(726.8289766190285, 393.71670097777974),16,,,(726.8289766190285, 393.71670097777974)
,(718.7039329588763, 403.6206931156074),18,,,(723.3592155403521, 405.0657780874821)
,(710.1985648593497, 412.9666472974707),20,,,(710.1985648593497, 412.9666472974707)
,(701.4347527342059, 421.8471428601714),22,,,(701.4347527342059, 421.8471428601714)
,(690.1506828015258, 429.2388841765666),24,,,(690.1506828015258, 429.2388841765666)
,(678.7261543527418, 435.995055504614),26,,,(678.7261543527418, 435.995055504614)
,(669.3990158219729, 443.2888266496967),28,,,(664.8842778576782, 440.8414688357673)
,(659.8076211353316, 450.0),30,,,(659.8076211353316, 450.0)
,(646.0339478853635, 453.7765866276294),32,,,(646.0339478853635, 453.7765866276294)
,(636.3757081781869, 459.4699774891629),34,,,(636.3757081781869, 459.4699774891629)
,(622.5796734531107, 461.74094438043016),36,,,(622.5796734531107, 461.74094438043016)
,(612.8629034738149, 466.3285983379278),38,,,(612.8629034738149, 466.3285983379278)
,(599.1715552109342, 467.1247785185002),40,,,(599.1715552109342, 467.1247785185002)
,(589.6019304967356, 470.72830462150887),42,,,(589.6019304967356, 470.72830462150887)
,(576.3382510829696, 470.2913007624544),44,,,(576.3382510829696, 470.2913007624544)
,(566.8180089101593, 472.74155208127627),46,,,(566.8180089101593, 472.74155208127627)
,(554.0000394625374, 471.02330985980075),48,,,(554.0000394625374, 471.02330985980075)
,(544.7272121794713, 472.45999970177),50,,,(541.4132741310386, 468.52977748617513)
,(535.4455245716448, 473.36236579347883),52,,,(535.4455245716448, 473.36236579347883)
,(523.5349029814193, 469.993568818739),54,,,(523.5349029814193, 469.993568818739)
,(514.7345452115031, 470.0527023737836),56,,,(514.7345452115031, 470.0527023737836)
,(503.43425652547495, 465.4693787505031),58,,,(503.43425652547495, 465.4693787505031)
,(495.1, 464.64482671904335),60,,,(495.1, 464.64482671904335)
,(486.95223911538983, 463.4453046789015),62,,,(484.5048813014604, 458.9305667146068)
,(476.8149506880886, 457.38895810235425),64,,,(478.9068064220339, 461.78292833385007)
,(469.2452293228861, 455.40272779924214),66,,,(469.2452293228861, 455.40272779924214)
,(461.9100879136255, 453.08533600351996),68,,,(461.9100879136255, 453.08533600351996)
,(454.823222932107, 450.4508193257454),70,,,(454.823222932107, 450.4508193257454)
,(446.4525491562421, 442.75847744427307),72,,,(446.4525491562421, 442.75847744427307)
,(440.06741659346494, 439.4829459110563),74,,,(440.06741659346494, 439.4829459110563)
,(433.86906538395345, 435.8414016786395),76,,,(433.86906538395345, 435.8414016786395)
,(428.1680782603976, 432.14992609906375),78,,,(429.1076367144863, 436.94066410273274)
,(422.674263096701, 428.1250078915871),80,,,(422.674263096701, 428.1250078915871)
,(417.49663762000824, 423.88350859269633),82,,,(417.49663762000824, 423.88350859269633)
,(412.64341559211846, 419.4426274441928),84,,,(412.64341559211846, 419.4426274441928)
,(408.1219944805744, 414.8198657798798),86,,,(408.1219944805744, 414.8198657798798)
,(403.93894463727514, 410.03299097210055),88,,,(403.93894463727514, 410.03299097210055)
,(400.1, 410.1),90,,,(400.1, 410.1)
,(396.43555284623744, 405.0360368370051),92,,,(396.5100503297499, 399.93908270190957)
,(393.0243526255875, 399.7564050259824),94,,,(393.0243526255875, 399.7564050259824)
,(390.1697959895729, 394.57958005998603),96,,,(389.5471536732346, 399.45218953682735)
,(386.87855540879383, 394.1754665304492),98,,,(386.87855540879383, 394.1754665304492)
,(384.4716640099763, 388.73269777109874),100,,,(384.4716640099763, 388.73269777109874)
,(381.38794782640167, 388.1332840660425),102,,,(381.38794782640167, 388.1332840660425)
,(379.5366388740283, 382.5751367334597),104,,,(379.5366388740283, 382.5751367334597)
,(378.0490115346401, 377.00093567506553),106,,,(378.0490115346401, 377.00093567506553)
,(375.37864045000424, 376.1845213036123),108,,,(375.37864045000424, 376.1845213036123)
,(374.4484892505749, 370.5769465589431),110,,,(374.4484892505749, 370.5769465589431)
,(372.0045054938066, 369.6387890925091),112,,,(372.0045054938066, 369.6387890925091)
,(369.59475176931505, 368.6159093231951),114,,,(369.59475176931505, 368.6159093231951)
,(369.41401972476456, 363.01558324094174),116,,,(369.41401972476456, 363.01558324094174)
,(367.2369906049877, 361.9063315001249),118,,,(367.2369906049877, 361.9063315001249)
,(366.35, 358.55671475544966),120,,,(366.35, 358.55671475544966)
,(365.6552478248417, 355.2231262501677),122,,,(365.6552478248417, 355.2231262501677)
,(363.7524612744015, 353.98744221607774),124,,,(366.4484257917552, 349.7422543533025)
,(361.8939586009893, 352.68610463437165),126,,,(364.7328848624516, 348.54101966249686)
,(363.0603114804605, 347.28064521640334),128,,,(363.0603114804605, 347.28064521640334)
,(361.43274341880766, 345.9626665871387),130,,,(361.43274341880766, 345.9626665871387)
,(359.8521636184685, 344.58868952864367),132,,,(359.8521636184685, 344.58868952864367)
,(358.32049777246016, 343.16038802031903),134,,,(358.32049777246016, 343.16038802031903)
,(356.8396119796809, 341.67950222753984),136,,,(356.8396119796809, 341.67950222753984)
,(359.2270345987434, 336.90218334973724),138,,,(355.4113104713564, 340.1478363815315)
,(357.96755562845624, 335.4533185327597),140,,,(354.03733341286136, 338.5672565811924)
,(356.7594085516304, 333.96138114291125),142,,,(352.7193547835967, 336.9396885195395)
,(355.6040653093779, 332.4281888760861),144,,,(351.45898033750314, 335.2671151375484)
,(354.50293350947277, 330.85560969089113),146,,,(350.2577456466975, 333.5515742082448)
,(353.4573547113966, 329.2455595328263),148,,,(349.11711423061445, 331.7951558539923)
,(352.4686027918559, 327.6),150,,,(348.0384757729337, 330.0)
,(347.0231444284644, 328.16829376715344),152,,,(347.0231444284644, 328.16829376715344)
,(346.07235722204996, 326.30226880734466),154,,,(346.07235722204996, 326.30226880734466)
,(345.187272541444, 324.404198584548),156,,,(345.187272541444, 324.404198584548)
,(335.1971301803249, 326.3224615391139),158,,,(335.1971301803249, 326.3224615391139)
,(334.3215165449865, 324.0414100327969),160,,,(334.3215165449865, 324.0414100327969)
