(Ax,Ay),(Bx,By)
(324,378,0, 0)
(377,582,0, 0)
(103,307,0, 0)
(754,295,0, 0)
(524,86,0, 0)
(35,109,0, 0)
(595,17,0, 0)
(301,56,0, 0)
(723,214,0, 0)
(175,102,0, 0)
(113,115,0, 0)
(163,543,0, 0)
(191,294,0, 0)
(785,390,0, 0)
(536,60,0, 0)
(590,423,0, 0)
(696,343,0, 0)
(290,166,0, 0)
(652,94,0, 0)
(296,580,0, 0)
(619,467,0, 0)
(476,561,0, 0)
(543,260,0, 0)
(696,302,0, 0)
(574,103,0, 0)
(223,336,0, 0)
(616,487,0, 0)
(586,285,1, 0)
(467,470,0, 0)
(269,138,0, 0)
(263,293,0, 0)
(280,370,0, 0)
(611,39,0, 0)
(573,542,0, 0)
(548,381,1, 0)
(762,387,0, 0)
(645,519,0, 0)
(599,179,0, 0)
(258,254,0, 0)
(396,442,0, 0)
(466,522,0, 0)
(256,301,0, 0)
(284,192,0, 0)
(715,113,0, 0)
(410,548,0, 0)
(593,485,0, 0)
(203,384,0, 0)
(740,422,0, 0)
(251,482,0, 0)
(203,263,0, 0)
(272,339,0, 0)
(164,432,0, 0)
(84,184,0, 0)
(556,350,1, 0)
(638,197,0, 0)
(268,280,0, 0)
(769,470,0, 0)
(690,214,0, 0)
(219,215,0, 0)
(32,159,0, 0)
(531,15,0, 0)
(79,517,0, 0)
(538,344,1, 0)
(565,84,0, 0)
(427,245,0, 0)
(258,455,0, 0)
(487,562,0, 0)
(213,537,0, 0)
(438,512,0, 0)
(498,321,0, 0)
(457,73,0, 0)
(174,495,0, 0)
(778,49,0, 0)
(254,550,0, 0)
(445,49,0, 0)
(288,565,0, 0)
(174,485,0, 0)
(570,463,0, 0)
(497,89,0, 0)
(455,485,0, 0)
(660,351,0, 0)
(335,499,0, 0)
(153,139,0, 0)
(517,18,0, 0)
(58,450,0, 0)
(230,178,0, 0)
(747,272,0, 0)
(713,20,0, 0)
(19,132,0, 0)
(376,363,0, 0)
(724,145,0, 0)
(52,463,0, 0)
(425,237,0, 0)
(645,572,0, 0)
(774,162,0, 0)
(437,554,0, 0)
(781,58,0, 0)
(486,399,0, 0)
(712,240,0, 0)
(628,360,0, 0)
(316,515,0, 0)
(576,85,0, 0)
(515,332,0, 0)
(700,407,0, 0)
(599,197,0, 0)
(708,428,0, 0)
(48,78,0, 0)
(293,343,0, 0)
(771,381,0, 0)
(274,297,0, 0)
(622,518,0, 0)
(411,337,0, 0)
(74,466,0, 0)
(318,349,0, 0)
(603,132,0, 0)
(569,299,1, 0)
(238,221,0, 0)
(166,95,0, 0)
(670,34,0, 0)
(54,378,0, 0)
(35,436,0, 0)
(629,255,0, 0)
(219,470,0, 0)
(255,359,0, 0)
(116,299,0, 0)
(240,48,0, 0)
(273,155,0, 0)
(256,156,0, 0)
(500,460,0, 0)
(430,526,0, 0)
(421,70,0, 0)
(350,447,0, 0)
(752,86,0, 0)
(599,466,0, 0)
(379,89,0, 0)
(497,40,0, 0)
(220,351,0, 0)
(367,308,0, 0)
