(Ax,Ay),(Bx,By)
(643,585,0, 0)
(134,448,0, 0)
(280,452,0, 0)
(382,507,0, 0)
(283,417,0, 0)
(532,237,0, 0)
(208,462,0, 0)
(589,209,0, 0)
(538,559,0, 0)
(589,440,1, 0)
(526,99,1, 0)
(776,410,0, 0)
(175,291,0, 0)
(731,555,0, 0)
(454,179,0, 0)
(195,543,0, 0)
(716,90,0, 0)
(581,276,0, 0)
(71,44,0, 0)
(667,574,0, 0)
(393,30,0, 0)
(453,202,0, 0)
(460,224,0, 0)
(579,270,0, 0)
(276,48,0, 0)
(111,203,0, 0)
(575,357,0, 0)
(56,133,0, 0)
(216,41,0, 0)
(653,564,0, 0)
(644,216,0, 0)
(207,495,0, 0)
(296,170,0, 0)
(255,25,0, 0)
(352,529,0, 0)
(634,120,0, 0)
(347,519,0, 0)
(695,558,0, 0)
(106,292,0, 0)
(451,251,0, 0)
(684,194,0, 0)
(254,583,0, 0)
(170,528,0, 0)
(566,26,0, 0)
(583,531,0, 0)
(779,31,0, 0)
(155,391,0, 0)
(773,288,0, 0)
(484,297,0, 0)
(648,88,0, 0)
(443,503,0, 0)
(642,128,0, 0)
(547,310,0, 0)
(24,349,0, 0)
(406,559,0, 0)
(529,260,0, 0)
(299,576,0, 0)
(710,442,0, 0)
(390,54,0, 0)
(166,382,0, 0)
(778,503,0, 0)
(138,447,0, 0)
(752,46,0, 0)
(385,314,0, 0)
(576,149,1, 0)
(327,418,0, 0)
(404,559,0, 0)
(323,101,0, 0)
(27,417,0, 0)
(167,306,0, 0)
(265,433,0, 0)
(77,333,0, 0)
(398,175,0, 0)
(32,137,0, 0)
(247,187,0, 0)
(595,172,1, 0)
(399,75,1, 0)
(631,574,0, 0)
(99,319,0, 0)
(39,547,0, 0)
(737,401,0, 0)
(604,324,1, 0)
(219,411,0, 0)
(216,99,0, 0)
(486,570,0, 0)
(448,215,0, 0)
(602,559,0, 0)
(703,461,0, 0)
(657,458,0, 0)
(650,149,1, 0)
(71,300,0, 0)
(114,360,0, 0)
(645,563,0, 0)
(756,67,0, 0)
(115,45,0, 0)
(730,205,0, 0)
(758,473,0, 0)
(506,528,0, 0)
(169,405,0, 0)
(436,194,0, 0)
(254,393,0, 0)
(557,556,0, 0)
(272,411,0, 0)
(294,426,0, 0)
(261,20,0, 0)
(303,167,0, 0)
(606,406,1, 0)
(118,223,0, 0)
(782,79,0, 0)
(572,103,1, 0)
(757,534,0, 0)
(322,34,0, 0)
(282,563,0, 0)
(614,322,1, 0)
(655,91,0, 0)
(123,336,0, 0)
(705,498,0, 0)
(502,100,1, 0)
(260,438,0, 0)
(777,50,0, 0)
(52,439,0, 0)
(368,39,0, 0)
(696,310,0, 0)
(703,483,0, 0)
(217,261,0, 0)
(714,23,0, 0)
(565,432,1, 0)
(184,197,0, 0)
(502,290,0, 0)
(95,272,0, 0)
(25,215,0, 0)
(773,47,0, 0)
(575,199,0, 0)
(159,532,0, 0)
(71,135,0, 0)
(537,274,0, 0)
(608,496,0, 0)
(26,194,0, 0)
(589,160,1, 0)
(773,257,0, 0)
(436,235,0, 0)
(200,525,0, 0)
(228,105,0, 0)
(555,511,0, 0)
(482,21,0, 0)
(33,16,0, 0)
(468,269,0, 0)
(662,541,0, 0)
(186,84,0, 0)
(773,24,0, 0)
(491,400,0, 0)
(239,181,0, 0)
(424,136,0, 0)
(601,197,1, 0)
(171,62,0, 0)
(214,48,0, 0)
(697,572,0, 0)
(585,431,1, 0)
(516,526,0, 0)
(268,497,0, 0)
(692,178,0, 0)
(456,374,0, 0)
(144,232,0, 0)
(175,271,0, 0)
(66,219,0, 0)
(359,145,0, 0)
(514,412,0, 0)
(773,512,0, 0)
(746,52,0, 0)
(102,421,0, 0)
(272,499,0, 0)
(522,565,0, 0)
(573,32,0, 0)
(72,73,0, 0)
(403,439,0, 0)
(323,437,0, 0)
(221,527,0, 0)
(411,19,0, 0)
(390,331,0, 0)
(667,287,1, 0)
(262,191,0, 0)
(591,273,0, 0)
(533,480,0, 0)
(485,224,0, 0)
(156,414,0, 0)
(16,437,0, 0)
(752,188,0, 0)
(586,146,1, 0)
(217,103,0, 0)
(521,112,1, 0)
(205,291,0, 0)
(549,227,0, 0)
(237,327,0, 0)
(491,530,0, 0)
(657,276,1, 0)
(199,315,0, 0)
(535,182,0, 0)
(709,107,0, 0)
(391,281,0, 0)
(444,357,0, 0)
(676,295,1, 0)
(200,115,0, 0)
(387,294,0, 0)
(521,23,0, 0)
(528,399,0, 0)
(217,221,0, 0)
(231,197,0, 0)
(294,402,0, 0)
(652,425,1, 0)
(597,117,1, 0)
(172,574,0, 0)
(651,493,0, 0)
(393,207,0, 0)
(597,345,1, 0)
(613,539,0, 0)
(679,316,1, 0)
(268,84,0, 0)
(574,138,1, 0)
(627,358,1, 0)
(643,573,0, 0)
(732,46,0, 0)
(385,143,0, 0)
(596,93,1, 0)
(571,56,0, 0)
(609,179,1, 0)
(316,248,0, 0)
(425,125,1, 0)
(475,153,0, 0)
(412,120,1, 0)
(745,298,0, 0)
(744,186,0, 0)
(516,487,0, 0)
(483,401,0, 0)
(225,195,0, 0)
(241,132,0, 0)
(574,123,1, 0)
(197,259,0, 0)
(409,373,0, 0)
(15,263,0, 0)
(589,253,0, 0)
(563,40,0, 0)
(721,244,0, 0)
(378,509,0, 0)
(127,185,0, 0)
(674,147,0, 0)
(383,578,0, 0)
(455,229,0, 0)
(688,377,0, 0)
(404,135,0, 0)
(426,356,0, 0)
(34,311,0, 0)
