,(607.6, 300.1),0
,(604.9751195389147, 307.2543968240127),2
,(599.6128100519649, 314.05129474882506),4
,(599.0043790736547, 321.00569265353073),6
,(593.2022734046063, 327.23875468721275),8
,(589.6754924548502, 333.5272742008841),10
,(585.948044139423, 339.6032212553743),12
,(579.6047093610593, 344.8555506859385),14
,(579.6047093610593, 344.8555506859385),16
,(579.6047093610593, 344.8555506859385),18
,(579.6047093610593, 344.8555506859385),20
,(562.3571745491877, 365.6561538477846),22
,(555.4027277992421, 369.2452293228861),24
,(550.6480027551106, 373.5271670871705),26
,(545.786352821723, 377.562807859672),28
,(538.6640646055102, 380.1),30
,(535.7876953850282, 384.88708227731286),32
,(528.6008237460314, 386.7749000379658),34
,(523.4750916421796, 389.7372509746022),36
,(518.3016130410083, 392.4492212988488),38
,(511.1764442522519, 393.3042034045482),40
,(511.1764442522519, 393.3042034045482),42
,(511.1764442522519, 393.3042034045482),44
,(511.1764442522519, 393.3042034045482),46
,(511.1764442522519, 393.3042034045482),48
,(486.87632730768286, 403.5159998210621),50
,(480.13599179233563, 402.5413979688739),52
,(476.51208279802154, 405.2722092687432),54
,(469.9991129338434, 403.7296965693802),56
,(466.33990802915065, 406.10601201955325),58
,(460.1, 404.02304845413266),60
,(456.4365875343069, 406.05371114307127),62
,(450.51268188074397, 403.46131532440427),64
,(446.874713953717, 405.1577276288991),66
,(443.17975824282985, 406.72614327518056),68
,(437.7222157658236, 403.4661882864499),70
,(434.09186938124424, 404.7162167924669),72
,(430.42010913986996, 405.8387865532151),74
,(425.50179903796516, 401.9810512589796),76
,(421.9307275358648, 402.8054980770496),78
,(421.9307275358648, 402.8054980770496),80
,(421.9307275358648, 402.8054980770496),82
,(421.9307275358648, 402.8054980770496),84
,(421.9307275358648, 402.8054980770496),86
,(421.9307275358648, 402.8054980770496),88
,(421.9307275358648, 402.8054980770496),90
,(421.9307275358648, 402.8054980770496),92
,(421.9307275358648, 402.8054980770496),94
,(390.1697959895729, 394.57958005998603),96
,(386.87855540879383, 394.1754665304492),98
,(383.60342312164164, 393.65673653615977),100
,(380.3483893723129, 393.0240220697116),102
,(377.1174199180316, 392.2780939962197),104
,(373.9144511973851, 391.4198611141403),106
,(371.51592802031735, 388.0727277573018),108
,(368.4631367423757, 387.02156742269653),110
,(365.4488901090282, 385.8645065474278),112
,(362.4768605154885, 384.6029548319406),114
,(360.64659678898306, 380.9914641669251),116
,(357.84755934926983, 379.56528335730343),118
,(353.85, 380.2073498500606),120
,(351.0824680584286, 378.5444488944695),122
,(348.374656428956, 376.7859754613414),124
,(345.7298641629463, 374.9340719796827),126
,(343.15131353237666, 372.9909947086218),128
,(340.6421461039952, 370.9591109885055),130
,(338.2054189118056, 368.84089635665896),132
,(335.84410073254276, 366.6389315313252),134
,(335.3594179695214, 362.6192533413098),136
,(333.21696570703455, 360.32175457229727),138
,(331.156000119292, 357.9508848717886),140
,(329.17903217539504, 355.50953277930927),142
,(327.2884705062548, 353.0006727063226),144
,(325.48661847004627, 350.4273613123672),146
,(323.77567134592164, 347.79273378098844),148
,(322.15771365940054, 345.1),150
,(318.42734766054923, 343.526119557695),152
,(316.96155071732704, 340.6493310779897),154
,(315.5970451680595, 337.7231394845116),156
,(312.01753381615526, 335.68762637451164),158
,(310.82920102533876, 332.59191361593855),160
,(309.7496309519604, 329.4566144656201),162
,(308.78013888585974, 326.2855488026149),164
,(307.92190600378035, 323.08258008196844),166
,(307.92190600378035, 323.08258008196844),168
,(307.92190600378035, 323.08258008196844),170
,(307.92190600378035, 323.08258008196844),172
,(307.92190600378035, 323.08258008196844),174
,(307.92190600378035, 323.08258008196844),176
,(307.92190600378035, 323.08258008196844),178
,(307.92190600378035, 323.08258008196844),180
,(307.92190600378035, 323.08258008196844),182
,(295.3557747227185, 292.7755702568669),184
,(295.67520098633133, 289.1245113568964),186
,(291.1705124384273, 284.7909588943928),188
,(291.7711471686572, 280.9987004566377),190
,(292.50376391928137, 277.2297140100465),192
,(288.51599147826045, 272.2789820060383),194
,(289.55490496709336, 268.4017040810452),196
,(288.35085933531946, 263.7905031609437),198
,(287.336885505691, 259.05758280091976),200
,(288.83793745198557, 255.14720879009056),202
,(285.9068177946749, 249.257919615525),204
,(287.75074421260416, 245.30360665136533),206
,(285.3168129283395, 239.06869683783418),208
,(287.516697508023, 235.1),210
,(287.7336272592736, 229.88569748910035),212
,(288.17992770506936, 224.60895803144916),214
,(288.17992770506936, 224.60895803144916),216
,(288.17992770506936, 224.60895803144916),218
,(288.17992770506936, 224.60895803144916),220
,(292.34400030577785, 203.07606207796556),222
,(292.1990299492023, 195.90124443115036),224
,(295.9012444311504, 192.19902994920233),226
,(296.384756014377, 184.9125520510039),228
,(300.4679204985864, 181.36311131655842),230
,(301.59416394789474, 174.01827942292445),232
,(304.5848965024731, 168.63473841407102),234
,(307.8331709273268, 163.3088005284181),236
,(311.3385232409381, 158.05194389379864),238
,(315.0999999999999, 152.8756813566455),240
,(319.1161554194339, 147.79154023183509),242
,(323.3850493119114, 142.8110418976458),244
,(323.3850493119114, 142.8110418976458),246
,(323.3850493119114, 142.8110418976458),248
,(337.68132384306546, 128.6060967065717),250
,(342.9318560406348, 124.1545444853966),252
,(348.4179957843127, 119.86343201156518),254
,(354.1348398360632, 115.74381200756066),256
,(360.07699951758127, 111.80658685874243),258
,(366.67272579911594, 110.52450754514996),260
,(372.9612453127872, 106.9977265953938),262
,(379.4556285046385, 103.681925664766),264
,(386.3230964355352, 103.08110007368472),266
,(386.3230964355352, 103.08110007368472),268
,(400.09999999999997, 100.1),270
,(407.0798993405003, 100.22183459618084),272
,(413.9640991566449, 101.83414501085991),274
,(421.2670138116997, 98.70931618792463),276
,(428.97841844921356, 94.61937573612414),278
,(436.56611731005535, 93.29037186743628),280
,(444.54112391229614, 91.02095034314905),282
,(452.7180122929277, 89.06067953497073),284
,(452.7180122929277, 89.06067953497073),286
,(468.8562812484257, 88.48992512432831),288
,(477.05453224827556, 88.66916032317063),290
,(485.32300000212, 89.16567308605585),292
,(493.64942790743396, 89.98454474220173),294
,(502.0212916284605, 91.13038423544364),296
,(510.42581725468426, 92.60731567815213),298
,(517.6, 96.58403011065693),300
,(525.9558252553861, 98.68857716284879),302
,(532.9083145743025, 103.2035765181776),304
,(541.1684605501935, 105.93592135001258),306
,(547.8587540781581, 110.97741913438676),308
,(554.3690263247695, 116.24933365144524),310
,(562.364172042023, 119.88737982173183),312
,(568.5546548363068, 125.66009841787707),314
,(574.5399015821229, 131.6453451636931),316
,(580.312620178268, 137.8358279579769),318
,(585.8657774563521, 144.22400465101416),320
,(589.2225808656133, 152.34124592184202),322
,(594.2640786499874, 159.0315394498064),324
,(599.0690174132101, 165.89370316702082),326
,(603.6315430775422, 172.91937658403077),328
,(605.7810333988041, 181.34999999999988),330
,(609.8000533039951, 188.6005038383509),332
,(611.3166008803042, 197.0827805045667),334
,(614.7831825460112, 204.51688887718694),336
,(615.6702461867782, 213.00396703080037),338
,(616.229302780759, 221.43536703509622),340
,(618.8429987478853, 229.02609129376202),342
,(618.7870358259676, 237.39250155163273),344
,(618.4165384120993, 245.66757349007474),346
,(618.4165384120993, 245.66757349007474),348
,(618.4165384120993, 245.66757349007474),350
,(618.4165384120993, 245.66757349007474),352
,(613.9222075041789, 277.62638039745457),354
,(612.0823606802127, 285.27674932937333),356
,(609.9720736740101, 292.77110569247486),358
