,(399.5305284372141, 300.88294759285895),(401.45837124953675, 110.88876082136765),(414.3471999340076, 102.93779113123611)
,(399.0457188169678, 301.75756729999836),(401.91325408032554, 111.77931211705679),(414.69130206359733, 103.87672335691155)
,(398.56090919672147, 302.63218700713776),(402.3646025282215, 112.67165990720471),(415.03227141538986, 104.81679776946525)
,(398.07609957647514, 303.50680671427716),(402.8123562585226, 113.56581682687903),(415.3700573800856, 105.75802071970317)
,(397.57609957647514, 304.3728321180616),(403.2564558238458, 114.46179426860385),(415.70461015913537, 106.70039773450674)
,(397.07609957647514, 305.238857521846),(403.6968540963386, 115.35959678674764),(416.03589342678515, 107.64392907822315)
,(396.57609957647514, 306.1048829256304),(404.1334915995159, 116.2592343197681),(416.3638572412751, 108.58861936418208)
,(396.06106150156506, 306.9620502263325),(404.566309755839, 117.1607155694661),(416.68845248221925, 109.53447238107023)
,(395.546023426655, 307.8192175270346),(404.9952603198642, 118.06404353516983),(417.00964152667603, 110.48148748006334)
,(395.0309853517449, 308.6763848277367),(405.42028471236483, 118.96922543168537),(417.3273751424053, 111.42966749959317)
,(394.5159472768348, 309.53355212843877),(405.84132526559904, 119.87626724578891),(417.64160492941943, 112.3790144545854)
,(393.9860280126016, 310.3816002245952),(406.2583252260399, 120.78517374977726),(417.9522833208401, 113.32952954499916)
,(393.45610874836837, 311.22964832075166),(406.6712353272717, 121.69594553694502),(418.2593714508543, 114.28121062624663)
,(392.92618948413514, 312.0776964169081),(407.0799988488293, 122.60858587324614),(418.56282167686896, 115.23405791743849)
,(392.3815504491201, 312.91636698485354),(407.48455999815343, 123.5230968225833),(418.8625872005999, 116.1880708265662)
,(391.83691141410503, 313.75503755279897),(407.88486849090066, 124.439477262485),(419.1586279728153, 117.14324613046915)
,(391.29227237909, 314.5937081207444),(408.280868597581, 125.35772772696033),(419.45089715084447, 118.09958222597854)
,(390.7476333440749, 315.4323786886898),(408.672505531374, 126.27784756268241),(419.7393487479328, 119.05707670436324)
,(390.18844044060415, 316.26141626124485),(409.0597254514465, 127.19983494518773),(420.0239376342646, 120.01572636183799)
,(389.6292475371334, 317.09045383379987),(409.4424771654993, 128.12368619154162),(420.3046226427205, 120.97552630246525)
,(389.0700546336626, 317.9194914063549),(409.8207069349941, 129.04939794012643),(420.58135863606714, 121.9364722894939)
